Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Buffalo BillsBuffalo,@ KC,20,2.0,2,0,2,0,1,20,272,120,392
Tennessee TitansTennessee,@ JAX,16,2.0,1,0,1,0,1,19,256,198,454
Philadelphia EaglesPhiladelphia,@ CAR,15,3.0,3,0,0,1,0,18,158,109,267
Dallas CowboysDallas,vs NYG,14,0.0,2,0,0,0,1,20,294,73,367
Minnesota VikingsMinnesota,vs DET,12,4.0,1,0,1,0,0,17,180,108,288
Chicago BearsChicago,@ LV,12,3.0,1,0,0,0,0,9,188,71,259
Arizona CardinalsArizona,vs SF,11,2.0,1,0,0,0,0,10,186,152,338
Tampa Bay BuccaneersTampa Bay,vs MIA,11,3.0,1,0,1,0,0,17,262,39,301
Detroit LionsDetroit,@ MIN,10,2.0,1,0,1,0,0,19,264,120,384
Los Angeles RamsLA Rams,@ SEA,10,2.0,2,0,0,0,0,17,262,92,354
Carolina PanthersCarolina,vs PHI,9,2.0,1,1,1,0,0,21,182,91,273
Atlanta FalconsAtlanta,vs NYJ,8,2.0,1,0,0,0,0,20,166,64,230
Pittsburgh SteelersPittsburgh,vs DEN,8,2.0,1,0,0,0,0,19,268,106,374
San Francisco 49ersSan Francisco,@ ARI,8,2.0,0,0,1,0,0,17,210,94,304
Green Bay PackersGreen Bay,@ CIN,8,3.0,2,0,0,0,0,22,264,103,367
Baltimore RavensBaltimore,vs IND,7,2.0,0,0,1,1,0,25,390,123,513
New Orleans SaintsNew Orleans,@ WAS,7,2.0,2,0,0,0,0,22,242,131,373
Las Vegas RaidersLas Vegas,vs CHI,6,2.0,0,0,0,0,0,20,109,143,252
Washington Football TeamWashington,vs NO,6,2.0,1,0,1,0,0,33,271,98,369
New York GiantsNY Giants,@ DAL,6,2.0,1,0,1,0,0,44,314,201,515
New England PatriotsNew England,@ HOU,6,3.0,0,0,1,0,0,22,293,67,360
Houston TexansHouston,vs NE,6,1.0,1,0,1,0,0,25,226,126,352
New York JetsNY Jets,@ ATL,5,0.0,0,0,2,0,0,27,342,108,450
Cincinnati BengalsCincinnati,vs GB,5,2.0,1,0,0,0,0,25,333,133,466
Indianapolis ColtsIndianapolis,@ BAL,4,2.0,0,0,1,0,0,31,437,86,523
Seattle SeahawksSeattle,vs LA,4,1.0,1,0,0,0,0,26,358,118,476
Denver BroncosDenver,@ PIT,4,1.0,0,0,1,0,0,27,244,147,391
Cleveland BrownsCleveland,@ LAC,4,2.0,0,0,1,0,0,47,381,112,493
Jacksonville JaguarsJacksonville,vs TEN,3,3.0,0,0,0,0,0,37,184,184,368
Miami DolphinsMiami,@ TB,2,2.0,0,0,0,0,0,45,437,121,558
Los Angeles ChargersLA Chargers,vs CLE,1,1.0,0,0,0,0,0,42,301,230,531
Kansas City ChiefsKansas City,vs BUF,0,0.0,0,0,0,0,0,38,315,121,436
