Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Indianapolis ColtsIND,IND@TEN,18.00,6.0,0,0,2,1,1,28,204,177,381
Atlanta FalconsATL,ATL@NYJ,17.00,4.0,1,0,2,0,0,8,197,62,259
Los Angeles ChargersLAC,LAC@NE,17.00,5.0,0,0,1,0,0,0,109,148,257
Miami DolphinsMIA,MIA@WAS,15.00,3.0,1,0,0,0,1,15,107,138,245
Houston TexansHOU,DEN@HOU,13.00,3.0,3,0,0,0,0,17,164,118,282
New York JetsNYJ,ATL@NYJ,12.00,3.0,0,1,0,0,0,13,104,90,194
New England PatriotsNE,LAC@NE,10.00,0.0,0,0,0,0,0,6,212,29,241
Tampa Bay BuccaneersTB,CAR@TB,10.00,4.0,1,0,0,0,0,18,149,133,282
Los Angeles RamsLA,CLE@LA,10.00,2.0,1,1,0,0,0,19,240,87,327
Green Bay PackersGB,KC@GB,9.00,3.0,1,0,0,0,0,19,189,148,337
Arizona CardinalsARI,ARI@PIT,9.00,0.0,0,0,1,0,0,10,187,130,317
Tennessee TitansTEN,IND@TEN,9.00,3.0,0,0,2,0,0,31,300,55,355
San Francisco 49ersSF,SF@PHI,7.00,3.0,0,0,0,0,0,19,287,46,333
Detroit LionsDET,DET@NO,6.00,2.0,1,0,1,0,0,28,249,113,362
Denver BroncosDEN,DEN@HOU,6.00,5.0,0,0,0,0,0,22,264,89,353
Cincinnati BengalsCIN,CIN@JAX,4.00,4.0,0,0,0,0,0,31,305,71,376
Jacksonville JaguarsJAX,CIN@JAX,4.00,2.0,1,0,0,0,0,34,335,156,491
Carolina PanthersCAR,CAR@TB,4.00,1.0,1,0,0,0,0,21,194,128,322
Seattle SeahawksSEA,SEA@DAL,4.00,4.0,0,0,0,0,0,41,275,136,411
Kansas City ChiefsKC,KC@GB,3.00,2.0,0,0,0,0,0,27,253,129,382
Pittsburgh SteelersPIT,ARI@PIT,3.00,2.0,0,0,0,0,0,24,132,150,282
Dallas CowboysDAL,SEA@DAL,3.00,1.0,1,0,0,0,0,35,334,72,406
Philadelphia EaglesPHI,SF@PHI,2.00,2.0,0,0,0,0,0,42,310,146,456
New Orleans SaintsNO,DET@NO,1.00,1.0,0,0,0,0,0,33,205,142,347
Cleveland BrownsCLE,CLE@LA,0.00,0.0,0,0,0,0,0,36,279,120,399
Washington CommandersWAS,MIA@WAS,0.00,0.0,0,0,0,0,0,45,283,123,406
