Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Robbie GouldSFR. GouldSF,@ DET,13,5,5,3,2,1
Joey SlyeWASJ. SlyeWAS,@ HOU,13,4,4,3,3,0
Matt GayLAM. GayLA,vs CHI,12,4,4,2,2,1
Chris BoswellPITC. BoswellPIT,@ BUF,11,2,2,3,3,0
Daniel CarlsonLVD. CarlsonLV,vs BAL,11,3,3,2,2,1
Evan McPhersonCINE. McPhersonCIN,vs MIN,11,3,3,2,2,1
Greg ZuerleinDALG. ZuerleinDAL,@ TB,11,3,2,5,3,0
Tyler BassBUFT. BassBUF,vs PIT,10,1,1,3,3,0
Nick FolkNEN. FolkNE,vs MIA,10,1,1,3,3,0
Dustin HopkinsLACD. HopkinsLAC,@ WAS,10,1,1,4,3,0
Harrison ButkerKCH. ButkerKC,vs CLE,9,3,3,2,2,0
Brandon McManusDENB. McManusDEN,@ NYG,9,3,3,2,2,0
Justin TuckerBALJ. TuckerBAL,@ LV,9,3,3,2,2,0
Greg JosephMING. JosephMIN,@ CIN,8,3,3,1,1,1
Matt PraterARIM. PraterARI,@ TEN,8,5,5,2,1,0
Aldrick RosasDETA. RosasDET,@ NO,8,5,5,1,1,0
Tristan VizcainoLACT. VizcainoLAC,@ WAS,8,2,2,2,2,0
Ryan SantosoLAR. SantosoLA,@ CAR,7,2,1,2,2,0
Ryan SuccopTBR. SuccopTB,vs DAL,7,4,4,1,1,0
Jake ElliottPHIJ. ElliottPHI,@ ATL,6,3,3,1,1,0
Younghoe KooATLY. KooATL,vs PHI,6,0,0,2,2,0
Jason SandersMIAJ. SandersMIA,@ NE,5,2,2,1,1,0
Austin SeibertDETA. SeibertDET,vs SF,5,2,2,2,1,0
Rodrigo BlankenshipINDR. BlankenshipIND,vs SEA,4,1,1,1,1,0
Jason MyersSEAJ. MyersSEA,@ IND,4,4,4,0,0,0
Mason CrosbyGBM. CrosbyGB,@ NO,3,0,0,1,1,0
Josh LamboPITJ. LamboPIT,@ HOU,3,3,3,1,0,0
Chase McLaughlinCLEC. McLaughlinCLE,@ KC,3,3,3,0,0,0
Cairo SantosCHIC. SantosCHI,@ LA,2,2,2,0,0,0
Michael BadgleyINDM. BadgleyIND,@ TEN,1,2,1,1,0,0
Graham GanoNYGG. GanoNYG,vs DEN,1,1,1,0,0,0
