Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Jake ElliottJ. Elliott,WAS@PHI,16.00,2,2,4,4,1
Brett MaherB. Maher,LA@IND,15.00,2,2,5,3,2
Tyler BassT. Bass,MIA@BUF,14.00,6,6,2,2,1
Brandon McManusB. McManus,ATL@JAX,13.00,2,2,3,3,1
Brandon AubreyB. Aubrey,NE@DAL,12.00,3,3,3,3,0
Ka'imi FairbairnK. Fairbairn,PIT@HOU,12.00,3,3,3,3,0
Harrison ButkerH. Butker,KC@NYJ,11.00,2,2,3,3,0
Nick FolkN. Folk,CIN@TEN,11.00,3,3,2,2,1
Chase McLaughlinC. McLaughlin,TB@NO,10.00,2,2,2,2,1
Riley PattersonR. Patterson,DET@GB,10.00,4,4,2,2,0
Blake GrupeB. Grupe,TB@NO,9.00,0,0,3,3,0
Wil LutzW. Lutz,DEN@CHI,9.00,4,4,1,1,1
Eddy PineiroE. Pineiro,MIN@CAR,9.00,1,1,2,2,1
Anders CarlsonA. Carlson,DET@GB,8.00,0,0,2,2,1
Joey SlyeJ. Slye,WAS@PHI,7.00,4,4,1,1,0
Chris BoswellC. Boswell,PIT@HOU,6.00,0,0,2,2,0
Cameron DickerC. Dicker,LV@LAC,6.00,3,3,1,1,0
Jason MyersJ. Myers,SEA@NYG,6.00,3,3,2,1,0
Daniel CarlsonD. Carlson,LV@LAC,5.00,2,2,1,1,0
Graham GanoG. Gano,SEA@NYG,5.00,0,0,1,1,1
Dustin HopkinsD. Hopkins,BAL@CLE,5.00,0,0,1,1,1
Jake MoodyJ. Moody,ARI@SF,5.00,5,5,0,0,0
Matt PraterM. Prater,ARI@SF,4.00,1,1,1,1,0
Cairo SantosC. Santos,DEN@CHI,4.00,4,4,0,0,0
Justin TuckerJ. Tucker,BAL@CLE,4.00,4,4,0,0,0
Greg ZuerleinG. Zuerlein,KC@NYJ,4.00,1,1,2,1,0
Greg JosephG. Joseph,MIN@CAR,3.00,3,3,0,0,0
Evan McPhersonE. McPherson,CIN@TEN,3.00,0,0,1,1,0
Chad RylandC. Ryland,NE@DAL,3.00,0,0,2,1,0
Jason SandersJ. Sanders,MIA@BUF,2.00,2,2,0,0,0
Matt GayM. Gay,LA@IND,1.00,1,1,1,0,0
Younghoe KooY. Koo,ATL@JAX,1.00,1,1,0,0,0
