Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Jayden DanielsJ. Daniels,PHI@WAS,44.00,39,24,258,5,2,0,9,81,0,0,0,0,0,0,0,0
Jonathan TaylorJ. Taylor,TEN@IND,39.00,0,0,0,0,0,0,29,218,3,0,0,0,0,0,0,0
Jared GoffJ. Goff,DET@CHI,31.00,32,23,336,3,0,0,1,-1,0,0,0,0,0,0,0,0
Bryce YoungB. Young,ARI@CAR,30.00,26,17,158,2,0,0,5,68,1,0,0,0,0,0,0,0
Joe BurrowJ. Burrow,CLE@CIN,28.00,30,23,252,3,0,0,2,19,0,0,0,0,0,0,1,0
Sam DarnoldS. Darnold,MIN@SEA,28.00,35,22,246,3,0,0,5,11,0,0,0,0,0,0,0,0
Chuba HubbardC. Hubbard,ARI@CAR,28.00,0,0,0,0,0,0,25,152,2,0,4,13,0,0,0,0
Saquon BarkleyS. Barkley,PHI@WAS,27.00,0,0,0,0,0,0,29,150,2,0,0,0,0,0,0,0
Caleb WilliamsC. Williams,DET@CHI,27.00,40,26,334,2,0,0,6,34,0,0,0,0,0,0,1,0
Lamar JacksonL. Jackson,PIT@BAL,26.00,23,15,207,3,1,0,9,22,0,0,0,0,0,0,0,0
Justin JeffersonJ. Jefferson,MIN@SEA,26.00,0,0,0,0,0,0,0,0,0,0,10,144,2,0,0,0
Baker MayfieldB. Mayfield,TB@DAL,26.00,43,31,303,2,1,0,3,42,0,0,0,0,0,0,0,0
Geno SmithG. Smith,MIN@SEA,26.00,43,31,314,3,2,0,1,8,0,0,0,0,0,0,0,0
De'Von AchaneD. Achane,SF@MIA,25.00,0,0,0,0,0,0,17,120,1,0,6,70,0,0,0,0
Justin HerbertJ. Herbert,DEN@LAC,25.00,31,23,284,2,1,1,8,28,0,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,HOU@KC,25.00,41,28,260,1,0,0,5,33,1,0,0,0,0,0,0,0
James CookJ. Cook,NE@BUF,24.00,0,0,0,0,0,0,11,100,1,0,3,26,1,0,0,0
Bo NixB. Nix,DEN@LAC,24.00,40,29,263,2,0,0,3,25,0,0,0,0,0,0,0,0
Brock PurdyB. Purdy,SF@MIA,24.00,40,26,313,2,1,0,4,26,0,0,0,0,0,0,0,0
Kyler MurrayK. Murray,ARI@CAR,23.00,32,20,202,1,1,0,8,63,1,0,0,0,0,0,1,0
Drake MayeD. Maye,NE@BUF,22.00,36,22,261,2,1,0,6,30,0,0,0,0,0,0,1,0
Anthony RichardsonA. Richardson,TEN@IND,22.00,11,7,131,1,1,0,9,70,1,0,0,0,0,0,0,0
James ConnerJ. Conner,ARI@CAR,21.00,0,0,0,0,0,0,15,117,1,0,4,49,0,0,0,0
Bijan RobinsonB. Robinson,NYG@ATL,21.00,0,0,0,0,0,0,22,94,2,0,2,9,0,0,0,0
Keenan AllenK. Allen,DET@CHI,20.00,0,0,0,0,0,0,0,0,0,0,9,141,1,0,0,0
Jahmyr GibbsJ. Gibbs,DET@CHI,20.00,0,0,0,0,0,0,23,109,1,0,4,45,0,0,0,0
Jameson WilliamsJ. Williams,DET@CHI,20.00,0,0,0,0,0,0,1,7,0,0,5,143,1,0,0,0
C.J. StroudC. Stroud,HOU@KC,19.00,39,23,244,2,2,0,2,23,0,0,0,0,0,0,0,0
Brian ThomasB. Thomas,JAX@LV,19.00,0,0,0,0,0,0,0,0,0,0,9,132,1,0,0,0
Russell WilsonR. Wilson,PIT@BAL,19.00,33,22,217,2,1,0,3,27,0,0,0,0,0,0,1,0
Olamide ZaccheausO. Zaccheaus,PHI@WAS,19.00,0,0,0,0,0,0,0,0,0,0,5,70,2,0,0,0
Gus EdwardsG. Edwards,DEN@LAC,18.00,0,0,0,0,0,0,14,68,2,0,1,3,0,0,0,0
Jerome FordJ. Ford,CLE@CIN,18.00,0,0,0,0,0,0,11,92,1,0,5,39,0,0,0,0
Derrick HenryD. Henry,PIT@BAL,18.00,0,0,0,0,0,0,24,162,0,0,2,27,0,0,0,0
Mason RudolphM. Rudolph,TEN@IND,18.00,34,23,252,2,3,1,4,3,0,0,0,0,0,0,0,0
Kyren WilliamsK. Williams,LA@NYJ,18.00,0,0,0,0,0,0,23,122,1,0,1,7,0,0,0,0
