Team,Opp,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Philadelphia EaglesPhiladelphia,vs DAL,22,1.0,2,0,2,0,1,7,141,127,268
Seattle SeahawksSeattle,@ CHI,19,7.0,1,0,0,0,0,3,76,103,179
Tampa Bay BuccaneersTampa Bay,vs CAR,17,5.0,0,0,0,1,1,14,165,39,204
Baltimore RavensBaltimore,@ HOU,17,5.0,1,0,0,0,0,2,153,58,211
Los Angeles RamsLA Rams,vs ARI,17,4.0,2,0,0,1,0,9,283,113,396
Buffalo BillsBuffalo,vs NYJ,16,4.0,2,1,1,0,0,14,169,112,281
Kansas City ChiefsKansas City,@ PIT,16,5.0,1,0,1,0,0,10,162,202,364
Chicago BearsChicago,vs SEA,15,3.0,0,0,1,0,0,6,143,122,265
Las Vegas RaidersLas Vegas,@ NO,15,4.0,2,0,0,0,0,10,188,81,269
Miami DolphinsMiami,@ CLE,15,1.0,1,0,1,0,0,3,162,114,276
New York GiantsNY Giants,vs IND,14,2.0,2,0,1,0,1,33,320,126,446
Los Angeles ChargersLA Chargers,@ NE,13,4.0,0,0,1,0,0,7,85,96,181
Jacksonville JaguarsJacksonville,vs TEN,12,3.0,1,0,0,0,0,13,178,159,337
Denver BroncosDenver,@ CIN,9,7.0,0,0,1,0,0,30,384,115,499
Cleveland BrownsCleveland,vs MIA,8,4.0,0,0,0,0,0,20,206,74,280
Atlanta FalconsAtlanta,@ WAS,7,5.0,1,0,0,0,0,30,196,216,412
Arizona CardinalsArizona,@ LA,7,0.0,0,0,0,0,0,13,189,68,257
Minnesota VikingsMinnesota,vs GB,6,3.0,0,0,1,0,0,25,167,104,271
Detroit LionsDetroit,@ SF,6,2.0,2,0,0,0,0,34,400,75,475
Tennessee TitansTennessee,@ JAX,6,2.0,0,0,0,0,0,20,173,122,295
Cincinnati BengalsCincinnati,vs DEN,5,2.0,1,0,0,0,0,24,206,123,329
Washington CommandersWashington,vs ATL,5,2.0,1,0,0,0,0,24,211,126,337
New Orleans SaintsNew Orleans,vs LV,4,1.0,0,0,0,1,0,25,232,156,388
Green Bay PackersGreen Bay,@ MIN,4,1.0,1,0,0,0,0,27,372,69,441
San Francisco 49ersSan Francisco,vs DET,4,2.0,0,0,0,1,0,40,287,152,439
Houston TexansHouston,vs BAL,3,1.0,0,1,0,0,0,31,181,251,432
Carolina PanthersCarolina,@ TB,2,2.0,0,0,0,0,0,48,349,202,551
Indianapolis ColtsIndianapolis,@ NYG,0,0.0,0,0,0,0,0,45,309,80,389
New England PatriotsNew England,vs LAC,0,0.0,0,0,0,0,0,40,281,147,428
New York JetsNY Jets,@ BUF,0,0.0,0,0,0,0,0,40,251,97,348
Pittsburgh SteelersPittsburgh,vs KC,0,0.0,0,0,0,0,0,29,320,69,389
Dallas CowboysDallas,@ PHI,0,0.0,0,0,0,0,0,41,197,179,376
