Player,Game,Pts*,XPA,XPM,FGA,FGM,50+
Ka'imi FairbairnK. Fairbairn,HOU@TEN,17.00,1,1,4,4,2
Matt PraterM. Prater,SF@ARI,13.00,2,2,3,3,1
Matt GayM. Gay,PIT@IND,12.00,3,3,5,3,0
Jason SandersJ. Sanders,NYJ@MIA,12.00,3,3,3,3,0
Harrison ButkerH. Butker,KC@NE,11.00,3,3,3,2,1
Justin TuckerJ. Tucker,BAL@JAX,11.00,2,2,3,3,0
Chase McLaughlinC. McLaughlin,TB@GB,10.00,4,4,2,2,0
Daniel CarlsonD. Carlson,LAC@LV,9.00,9,9,0,0,0
Evan McPhersonE. McPherson,MIN@CIN,9.00,3,3,2,2,0
Jake MoodyJ. Moody,SF@ARI,9.00,6,6,1,1,0
Eddy PineiroE. Pineiro,ATL@CAR,9.00,0,0,3,3,0
Anders CarlsonA. Carlson,TB@GB,8.00,2,2,2,2,0
Blake GrupeB. Grupe,NYG@NO,8.00,3,3,1,1,1
Lucas HavrisikL. Havrisik,WAS@LA,8.00,2,2,3,2,0
Dustin HopkinsD. Hopkins,CHI@CLE,8.00,2,2,2,2,0
Jason MyersJ. Myers,PHI@SEA,8.00,2,2,2,2,0
Tyler BassT. Bass,DAL@BUF,7.00,4,4,1,1,0
Michael BadgleyM. Badgley,DEN@DET,6.00,6,6,0,0,0
Greg JosephG. Joseph,MIN@CIN,6.00,3,3,1,1,0
Randy BullockR. Bullock,NYG@NO,5.00,0,0,1,1,1
Jake ElliottJ. Elliott,PHI@SEA,5.00,2,2,1,1,0
Wil LutzW. Lutz,DEN@DET,5.00,2,2,1,1,0
Chad RylandC. Ryland,KC@NE,5.00,2,2,2,1,0
Cairo SantosC. Santos,CHI@CLE,5.00,2,2,1,1,0
Brandon AubreyB. Aubrey,DAL@BUF,4.00,1,1,1,1,0
Nick FolkN. Folk,HOU@TEN,4.00,2,1,1,1,0
Cameron DickerC. Dicker,LAC@LV,3.00,3,3,0,0,0
Joey SlyeJ. Slye,WAS@LA,2.00,3,2,0,0,0
Chris BoswellC. Boswell,PIT@IND,1.00,2,1,0,0,0
Younghoe KooY. Koo,ATL@CAR,1.00,1,1,0,0,0
Brandon McManusB. McManus,BAL@JAX,1.00,1,1,2,0,0
