Player,Opp,Pts*,XPA,XPM,FGA,FGM,50+
Chris BoswellPITC. BoswellPIT,@ ATL,24,0,0,6,6,3
Jake MoodySFJ. MoodySF,vs NYJ,24,2,2,6,6,2
Blake GrupeNOB. GrupeNO,vs CAR,21,5,5,4,4,2
Brandon AubreyDALB. AubreyDAL,@ CLE,19,3,3,4,4,2
Ka'imi FairbairnHOUK. FairbairnHOU,@ IND,17,2,2,3,3,3
Chase McLaughlinTBC. McLaughlinTB,vs WAS,15,4,4,3,3,1
Cameron DickerLACC. DickerLAC,vs LV,12,1,1,3,3,1
Cairo SantosCHIC. SantosCHI,vs TEN,12,1,1,3,3,1
Brayden NarvesonTENB. NarvesonTEN,@ PHI,11,2,2,4,3,0
Tyler BassBUFT. BassBUF,vs ARI,10,4,4,2,2,0
Jake ElliottPHIJ. ElliottPHI,vs GB,10,4,4,2,2,0
Wil LutzDENW. LutzDEN,@ SEA,10,1,1,3,3,0
Jason MyersSEAJ. MyersSEA,vs DEN,10,2,2,2,2,1
Jason SandersMIAJ. SandersMIA,vs JAX,10,2,2,3,2,1
Joey SlyeNEJ. SlyeNE,@ CIN,10,1,1,3,3,0
Harrison ButkerKCH. ButkerKC,vs BAL,9,3,3,2,2,0
Jake BatesDETJ. BatesDET,vs LA,8,2,2,2,2,0
Graham GanoNYGG. GanoNYG,vs MIN,8,0,0,2,2,1
Joshua KartyLAJ. KartyLA,@ DET,8,2,2,2,2,0
Matt PraterARIM. PraterARI,@ BUF,8,2,2,2,2,0
Justin TuckerBALJ. TuckerBAL,@ KC,8,2,2,3,2,0
Dustin HopkinsCLED. HopkinsCLE,vs DAL,7,2,2,1,1,1
Cam LittleJAXC. LittleJAX,@ MIA,7,2,2,1,1,1
Evan McPhersonCINE. McPhersonCIN,vs NE,6,1,1,1,1,1
Nick FolkTENN. FolkTEN,@ CHI,5,2,2,1,1,0
Daniel CarlsonLVD. CarlsonLV,@ LAC,4,1,1,2,1,0
Younghoe KooATLY. KooATL,vs PIT,4,1,1,1,1,0
Eddy PineiroCARE. PineiroCAR,@ NO,4,1,1,1,1,0
Will ReichardMINW. ReichardMIN,@ NYG,4,4,4,0,0,0
Spencer ShraderKCS. ShraderKC,@ IND,3,3,3,0,0,0
Cade YorkCINC. YorkCIN,@ TB,2,2,2,2,0,0
Greg ZuerleinNYJG. ZuerleinNYJ,@ SF,1,1,1,0,0,0
