Player,Game,Pts*,Passing_Att,Passing_Cmp,Passing_Yds,Passing_TD,Passing_Int,Passing_2Pt,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_2Pt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_2Pt,Fumble_FL,Fumble_TD
Joe BurrowJ. Burrow,LV@CIN,39.00,39,27,251,5,1,0,3,11,0,0,0,0,0,0,0,0
Jalen HurtsJ. Hurts,JAX@PHI,33.00,24,18,230,2,0,0,13,67,1,0,0,0,0,0,0,0
Saquon BarkleyS. Barkley,JAX@PHI,30.00,0,0,0,0,0,0,27,159,1,0,3,40,1,0,1,0
Jaxon Smith-NjigbaJ. Smith-Njigba,LA@SEA,30.00,0,0,0,0,0,0,0,0,0,0,7,180,2,0,0,0
Lamar JacksonL. Jackson,DEN@BAL,29.00,19,16,280,3,0,0,3,4,0,0,0,0,0,0,0,0
Patrick MahomesP. Mahomes,TB@KC,29.00,44,34,291,3,0,0,2,9,0,0,0,0,0,0,0,0
Daniel JonesD. Jones,WAS@NYG,28.00,26,20,174,2,0,0,7,54,1,0,0,0,0,0,1,0
Josh AllenJ. Allen,MIA@BUF,27.00,39,25,235,3,1,1,2,7,0,0,0,0,0,0,0,0
Geno SmithG. Smith,LA@SEA,27.00,34,21,363,3,3,0,6,16,0,0,0,0,0,0,0,0
Aaron RodgersA. Rodgers,HOU@NYJ,26.00,32,22,211,3,0,0,1,-1,0,0,0,0,0,0,0,0
Kirk CousinsK. Cousins,DAL@ATL,25.00,24,19,222,3,0,0,4,-11,0,0,0,0,0,0,1,0
Sam DarnoldS. Darnold,IND@MIN,25.00,34,28,290,3,2,0,4,14,0,0,0,0,0,0,1,0
Zay FlowersZ. Flowers,DEN@BAL,24.00,0,0,0,0,0,0,0,0,0,0,5,127,2,0,0,0
Derrick HenryD. Henry,DEN@BAL,24.00,0,0,0,0,0,0,23,106,2,0,1,27,0,0,0,0
De'Von AchaneD. Achane,MIA@BUF,23.00,0,0,0,0,0,0,12,63,1,0,8,58,1,0,0,0
Jayden DanielsJ. Daniels,WAS@NYG,23.00,22,15,209,2,0,0,8,35,0,0,0,0,0,0,0,0
Justin HerbertJ. Herbert,LAC@CLE,23.00,27,18,282,2,0,0,3,2,0,0,0,0,0,0,0,0
J.K. DobbinsJ. Dobbins,LAC@CLE,22.00,0,0,0,0,0,0,14,85,2,0,2,20,0,0,0,0
Mike GesickiM. Gesicki,LV@CIN,22.00,0,0,0,0,0,0,0,0,0,0,5,100,2,0,0,0
Baker MayfieldB. Mayfield,TB@KC,22.00,31,23,200,2,0,0,4,20,0,0,0,0,0,0,0,0
Chase BrownC. Brown,LV@CIN,21.00,0,0,0,0,0,0,27,120,0,0,5,37,1,0,0,0
Alvin KamaraA. Kamara,NO@CAR,21.00,0,0,0,0,0,0,29,155,0,0,6,60,0,0,0,0
Demarcus RobinsonD. Robinson,LA@SEA,21.00,0,0,0,0,0,0,0,0,0,0,6,94,2,0,0,0
Matthew StaffordM. Stafford,LA@SEA,21.00,44,25,298,2,1,0,1,0,0,0,0,0,0,0,0,0
Tua TagovailoaT. Tagovailoa,MIA@BUF,21.00,28,25,231,2,0,0,2,3,0,0,0,0,0,0,0,0
Garrett WilsonG. Wilson,HOU@NYJ,21.00,0,0,0,0,0,0,0,0,0,0,9,90,2,0,0,0
DeAndre HopkinsD. Hopkins,TB@KC,20.00,0,0,0,0,0,0,0,0,0,0,8,86,2,0,0,0
Mason RudolphM. Rudolph,NE@TEN,20.00,33,20,240,2,1,0,4,19,0,0,0,0,0,0,0,0
Chuba HubbardC. Hubbard,NO@CAR,19.00,0,0,0,0,0,0,15,72,2,0,2,0,0,0,0,0
Trevor LawrenceT. Lawrence,JAX@PHI,18.00,31,16,169,0,2,2,5,8,2,0,0,0,0,0,0,0
Drake MayeD. Maye,NE@TEN,18.00,41,29,206,1,2,0,8,95,0,0,0,0,0,0,1,0
Courtland SuttonC. Sutton,DEN@BAL,18.00,1,1,2,1,0,0,0,0,0,0,7,122,0,0,0,0
Kareem HuntK. Hunt,TB@KC,17.00,0,0,0,0,0,0,27,106,1,0,1,11,0,0,0,0
Quentin JohnstonQ. Johnston,LAC@CLE,17.00,0,0,0,0,0,0,1,2,0,0,4,118,1,0,0,0
Rico DowdleR. Dowdle,DAL@ATL,16.00,0,0,0,0,0,0,12,75,0,0,5,32,1,0,0,0
Joe MixonJ. Mixon,HOU@NYJ,16.00,1,0,0,0,0,0,24,106,1,0,0,0,0,0,0,0
Rhamondre StevensonR. Stevenson,NE@TEN,16.00,0,0,0,0,0,0,10,16,1,0,5,38,1,0,0,0
Davante AdamsD. Adams,HOU@NYJ,15.00,0,0,0,0,0,0,0,0,0,0,7,91,1,0,0,0
Derek CarrD. Carr,NO@CAR,15.00,31,18,236,1,0,0,0,0,0,0,0,0,0,0,0,0
Re'Mahn DavisR. Davis,MIA@BUF,15.00,0,0,0,0,0,0,4,20,0,0,2,70,1,0,0,0
Bo NixB. Nix,DEN@BAL,15.00,33,19,223,0,1,0,6,36,0,0,1,2,1,0,0,0
Austin EkelerA. Ekeler,WAS@NYG,14.00,0,0,0,0,0,0,11,42,1,0,3,41,0,0,0,0
Darnell MooneyD. Mooney,DAL@ATL,14.00,0,0,0,0,0,0,0,0,0,0,5,88,1,0,0,0
Tony PollardT. Pollard,NE@TEN,14.00,0,0,0,0,0,0,28,128,0,0,3,26,0,0,0,0
Dak PrescottD. Prescott,DAL@ATL,14.00,24,18,133,1,0,0,3,30,0,0,0,0,0,0,0,0
DeVonta SmithD. Smith,JAX@PHI,14.00,0,0,0,0,0,0,0,0,0,0,4,87,1,0,0,0
Emari DemercadoE. Demercado,CHI@ARI,13.00,0,0,0,0,0,0,4,59,1,0,2,21,0,0,0,0
