Player,Pos,Team,College
"Baccellia, Andre",WR,Arizona,Washington
"Bachie, Joe",LB,Cincinnati,Michigan State
"Bachman, Alex",WR,Las Vegas,Wake Forest
"Bada, David",DT,Detroit,--
"Badgley, Michael",K,Detroit,Miami
"Badie, Tyler",RB,Denver,Missouri
"Bagent, Tyson",QB,Chicago,Shepherd
"Bailey, Emani",RB,Kansas City,Texas Christian
"Bailey, Jake",P,Miami,Stanford
"Bailey, Levelle",LB,Denver,Fresno State
"Bailey, Markus",LB,Arizona,Purdue
"Bailey, Quinn",OT,Denver,Arizona State
"Bailey, Zack",OT,Atlanta,South Carolina
"Baker, Budda",DB,Arizona,Washington
"Baker, Darrell",DB,Indianapolis,Georgia Southern
"Baker, Javon",WR,New England,Central Florida
"Baker, Jerome",LB,Seattle,Ohio State
"Baker, Kawaan",WR,New England,South Alabama
"Baldwin, Daylen",WR,Atlanta,Michigan
"Ball, Josh",OT,Dallas,Marshall
"Ballentine, Corey",DB,Green Bay,Washburn
"Bandy, Michael",WR,Denver,San Diego
"Banks, Aaron",OG,San Francisco,Notre Dame
"Banks, Deonte",DB,NY Giants,Maryland
"Banks, Eric",DE,Tampa Bay,Texas-San Antonio
"Banks, Keshawn",LB,Green Bay,San Diego State
"Banks, Marcus",DB,Tampa Bay,Mississippi State
"Baringer, Bryce",P,New England,Michigan State
"Barkley, Saquon",RB,Philadelphia,Penn State
"Barmore, Christian",DT,New England,Alabama
"Barner, AJ",TE,Seattle,Michigan
"Barnes, Derrick",LB,Detroit,Purdue
"Barnes, Kalon",DB,Pittsburgh,Baylor
"Barnes, Krys",LB,Arizona,UCLA
"Barnes, Tarique",LB,Houston,Illinois
"Barnes, Zaire",LB,NY Jets,Western Michigan
"Barnett, Derek",DE,Houston,Tennessee
"Barnhart, Karsen",OT,LA Chargers,Michigan
"Barno, Amaré",LB,Carolina,Virginia Tech
"Barrett, Alex",DE,San Francisco,San Diego State
"Barrett, Michael",LB,Carolina,Michigan
"Barrington, Clark",C,Las Vegas,Baylor
"Bartch, Ben",OG,San Francisco,St. John's (MN)
"Bartholomew, Shemar",DB,NY Jets,Georgia Southern
"Barton, Cody",LB,Denver,Utah
"Barton, Graham",C,Tampa Bay,Duke
"Barton, Jackson",OT,Arizona,Utah
"Basham, Carlos",LB,NY Giants,Wake Forest
"Baskerville, Micah",LB,Chicago,Louisiana State
"Bass, T.J.",OG,Dallas,Oregon
"Bass, Tyler",K,Buffalo,Georgia Southern
"Bateman, Rashod",WR,Baltimore,Minnesota
"Bates III, Jessie",DB,Atlanta,Wake Forest
"Bates, Brenden",TE,Chicago,Kentucky
"Bates, Jake",K,Detroit,Arkansas
"Bates, John",TE,Washington,Boise State
"Bates, Ryan",OG,Chicago,Penn State
"Battle, Jordan",DB,Cincinnati,Alabama
"Battle, Miles",DB,Kansas City,Utah
"Bauer, Bo",LB,Washington,Notre Dame
"Baugh, Kyler",DT,New Orleans,Minnesota
"Bauman, Casey",QB,LA Chargers,Augustana (SD)
