Player,Pos,Team,College
"Cager, Lawrence",TE,NY Giants,Georgia
"Cain, Noah",RB,Cincinnati,Louisiana State
"Cajuste, Yodny",OT,NY Giants,West Virginia
"Calcaterra, Grant",TE,Philadelphia,Southern Methodist
"Calhoun, Jalon",WR,Detroit,Duke
"Caliendo, Mike",OG,Kansas City,Western Michigan
"Camarda, Jake",P,Tampa Bay,Georgia
"Camp, Jalen",WR,Cleveland,Georgia Tech
"Campbell, Calais",DE,Miami,Miami
"Campbell, Chance",LB,Tennessee,Mississippi
"Campbell, De'Vondre",LB,San Francisco,Minnesota
"Campbell, Elijah",DB,Miami,Northern Iowa
"Campbell, Jack",LB,Detroit,Iowa
"Campbell, Parris",WR,Philadelphia,Ohio State
"Campbell, Tevaughn",DB,Jacksonville,Regina
"Campbell, Tyson",DB,Jacksonville,Georgia
"Cannella, Sal",TE,Tampa Bay,Auburn
"Cappa, Alex",OG,Cincinnati,Humboldt State
"Cardona, Joe",LS,New England,Navy
"Carlies, Jaylon",DB,Indianapolis,Missouri
"Carlson, Anders",K,Green Bay,Auburn
"Carlson, Daniel",K,Las Vegas,Auburn
"Carlson, Stephen",TE,Chicago,Princeton
"Carman, Jackson",OT,Cincinnati,Clemson
"Carney, Owen",DE,Kansas City,Illinois
"Carr, Derek",QB,New Orleans,Fresno State
"Carson, Caelen",DB,Dallas,Wake Forest
"Carter, Andre",LB,Minnesota,Army
"Carter, DeAndre",WR,Chicago,Sacramento State
"Carter, Devin",WR,Carolina,West Virginia
"Carter, DeWayne",DT,Buffalo,Duke
"Carter, Ja'Tyre",OG,Chicago,Southern
"Carter, Jalen",DT,Philadelphia,Georgia
"Carter, Lorenzo",LB,Atlanta,Georgia
"Carter, Michael",RB,Arizona,North Carolina
"Carter, Michael",DB,NY Jets,Duke
"Carter, Shyheim",DB,Tennessee,Alabama
"Carter, Zachary",DT,Cincinnati,Florida
"Carvin, Jerome",OG,Chicago,Tennessee
"Casey, Aaron",LB,Cincinnati,Indiana
"Cashman, Blake",LB,Minnesota,Minnesota
"Castles, McCallan",TE,Philadelphia,Tennessee
"Castro-Fields, Tariq",DB,Washington,Penn State
"Ceaser, Nelson",DE,Seattle,Houston
"Cephus, Joshua",WR,Jacksonville,Texas-San Antonio
"Cephus, Quintez",WR,Houston,Wisconsin
"Chachere, Andre",DB,Arizona,San Jose State
"Chaisson, K'Lavon",LB,Carolina,Louisiana State
"Chambers, Steele",LB,New England,Ohio State
"Chandler, Ty",RB,Minnesota,North Carolina
"Charbonnet, Zach",RB,Seattle,UCLA
"Chark, D.J.",WR,LA Chargers,Louisiana State
"Charles, Irvin",WR,NY Jets,Indiana (PA)
"Charles, Saahdiq",OG,Tennessee,Louisiana State
"Chase, Ja'Marr",WR,Cincinnati,Louisiana State
"Chatman, Elijah",DT,NY Giants,Southern Methodist
"Chenal, Leo",LB,Kansas City,Wisconsin
"Cherelus, Claudin",LB,Carolina,Alcorn State
"Chestnut, Julius",RB,Tennessee,Sacred Heart
"Chinn, Jeremy",DB,Washington,Southern Illinois
"Chisena, Dan",WR,Arizona,Penn State
"Christensen, Brady",OG,Carolina,Brigham Young
"Christian, Geron",OT,Tennessee,Louisville
"Christiansen, Cole",LB,Kansas City,Army
"Chubb, Bradley",LB,Miami,North Carolina State
"Chubb, Nick",RB,Cleveland,Georgia
"Ciarlo, Jimmy",LB,NY Jets,Army
"Cine, Lewis",DB,Minnesota,Georgia
"Cisco, Andre",DB,Jacksonville,Syracuse
"Clapp, William",C,Buffalo,Louisiana State
"Clark, Chuck",DB,NY Jets,Virginia Tech
"Clark, Damone",LB,Dallas,Louisiana State
"Clark, Jerrod",DT,LA Chargers,Coastal Carolina
"Clark, Kei'Trel",DB,Arizona,Louisville
"Clark, Kenny",DT,Green Bay,UCLA
"Clark, Le'Raven",OT,Philadelphia,Texas Tech
"Claypool, Chase",WR,Buffalo,Notre Dame
"Clayton, Travis",OT,Buffalo,--
"Clemens, Duke",C,Detroit,UCLA
"Clemons, Micheal",DE,NY Jets,Texas A&M
"Cleveland, Ben",OG,Baltimore,Georgia
"Cleveland, Ezra",OG,Jacksonville,Boise State
"Cleveland, Tyrie",WR,Indianapolis,Florida
"Clifford, Sean",QB,Green Bay,Penn State
"Cline, Kameron",DE,Buffalo,South Dakota
"Clowney, Jadeveon",LB,Carolina,South Carolina
"Coburn, Keondre",DT,Tennessee,Texas
"Cochran, Devin",OT,Cincinnati,Georgia Tech
"Cochrane, Jack",LB,Kansas City,South Dakota
"Codrington, Brandon",DB,NY Jets,North Carolina Central
"Cohen, Javion",OG,Cleveland,Miami
"Cohen, Tarik",RB,NY Jets,North Carolina A&T
"Coker, Andrew",OT,Las Vegas,Texas Christian
"Coker, Jalen",WR,Carolina,Holy Cross
"Colbert, Adrian",DB,Chicago,Miami
"Colbert, Jordan",DB,Miami,Rhode Island
"Cole, A.J.",P,Las Vegas,North Carolina State
"Cole, Myles",LB,Jacksonville,Texas Tech
"Coleman, Brandon",OT,Washington,Texas Christian
"Coleman, D.J.",LB,Jacksonville,Missouri
"Coleman, Douglas",DB,Chicago,Texas Tech
"Coleman, Keon",WR,Buffalo,Florida State
