Player,Pos,Team,College
"Faalele, Daniel",OT,Baltimore,Minnesota
"Facyson, Brandon",DB,Las Vegas,Virginia Tech
"Fairbairn, Ka'imi",K,Houston,UCLA
"Fant, George",OT,Seattle,Western Kentucky
"Fant, Noah",TE,Seattle,Iowa
"Fant, Princeton",TE,Dallas,Tennessee
"Farley, Caleb",DB,Tennessee,Virginia Tech
"Farmer, Andrew",LB,LA Chargers,Lane
"Farrell, Luke",TE,Jacksonville,Ohio State
"Farrell, Neil",DE,Kansas City,Louisiana State
"Fashanu, Olu",OT,NY Jets,Penn State
"Fatukasi, Folorunso",DT,Houston,Connecticut
"Fatukasi, Olakunle",LB,LA Rams,Rutgers
"Fautanu, Troy",OG,Pittsburgh,Washington
"Feeney, Dan",C,Minnesota,Indiana
"Fehoko, Breiden",DT,Pittsburgh,Louisiana State
"Fehoko, Junior",DE,Dallas,San Jose State
"Fehoko, Simi",WR,LA Chargers,Stanford
"Feliciano, Jon",OG,San Francisco,Miami
"Felton, Demetric",RB,Chicago,UCLA
"Fenwick, Deshaun",RB,New England,Oregon State
"Ferguson, Blake",LS,Miami,Louisiana State
"Ferguson, Jake",TE,Dallas,Wisconsin
"Ferguson, Reid",LS,Buffalo,Louisiana State
"Fernea, Ethan",WR,Indianapolis,UCLA
"Ferrell, Clelin",DE,Washington,Clemson
"Fields, Clay",DB,Indianapolis,Tennessee-Chattanooga
"Fields, Justin",QB,Pittsburgh,Ohio State
"Fields, Tony",LB,Cleveland,West Virginia
"Finley, A.J.",DB,LA Chargers,Mississippi
"Fisher, Blake",OT,Houston,Notre Dame
"Fisher, Joseph",OG,Pittsburgh,Shepherd
"Fisher, Malik",DE,Houston,Villanova
"Fiske, Braden",DT,LA Rams,Florida State
"Fitzpatrick, Dez",WR,Pittsburgh,Louisville
"FitzPatrick, John",TE,Atlanta,Georgia
"Fitzpatrick, Minkah",DB,Pittsburgh,Alabama
"Flacco, Joe",QB,Indianapolis,Delaware
"Flannigan-Fowles, Demetrius",LB,San Francisco,Arizona
"Flax, Jeremy",OT,Minnesota,Kentucky
"Flott, Cordale",DB,NY Giants,Louisiana State
"Flournoy, Ryan",WR,Dallas,Southeast Missouri State
"Flowers, Dallis",DB,Indianapolis,Pittsburg State
"Flowers, Tre",DB,Jacksonville,Oklahoma State
"Flowers, Zay",WR,Baltimore,Boston College
"Floyd, Leonard",LB,San Francisco,Georgia
"Foelsch, Kevin",TE,NY Jets,New Haven
"Folk, Nick",K,Tennessee,Arizona
"Forbes, Emmanuel",DB,Washington,Mississippi State
"Ford, Cody",OG,Cincinnati,Oklahoma
"Ford, Jaylan",LB,New Orleans,Texas
"Ford, Jerome",RB,Cleveland,Cincinnati
"Ford, Jonathan",DT,Green Bay,Miami
"Ford, Mike",DB,Houston,Southeast Missouri State
"Ford, Poona",DE,LA Chargers,Texas
"Ford-Wheaton, Bryce",WR,NY Giants,West Virginia
"Foreman, D'Onta",RB,Cleveland,Texas
"Foreman, Jeff",WR,Las Vegas,Arkansas State
"Fornadel, Liam",OL,New England,James Madison
"Forrest, Darrick",DB,Washington,Cincinnati
"Forristall, Miller",TE,LA Rams,Alabama
"Forsyth, Alex",C,Denver,Oregon
"Forsythe, Stone",OT,Seattle,Florida
"Fortner, Luke",C,Jacksonville,Kentucky
"Fortson, Joe",TE,Miami,Valdosta State
"Foskey, Isaiah",DE,New Orleans,Notre Dame
"Foster, Javon",OT,Jacksonville,Missouri
"Fotheringham, Cole",TE,Las Vegas,Utah
"Fotu, Leki",DT,NY Jets,Utah
"Fountain, Daurice",WR,Detroit,Northern Iowa
"Fowler Jr., Dante",DE,Washington,Florida
"Fox, Jack",P,Detroit,Rice
"Fox, Morgan",DE,LA Chargers,Colorado State-Pueblo
"Fox, Tomari",DT,Las Vegas,North Carolina
"Fox, Tomon",LB,NY Giants,North Carolina
"Fraboni, MItchell",LS,Denver,Arizona State
"Francis, Jacobi",DB,Minnesota,Memphis
"Franklin, Sam",DB,Carolina,Temple
"Franklin, TJ",DE,Las Vegas,Baylor
"Franklin, Troy",WR,Denver,Oregon
"Franklin, Zaire",LB,Indianapolis,Syracuse
"Franklin-Myers, John",DE,Denver,Stephen F. Austin
"Franks, Feleipe",TE,Carolina,Arkansas
"Frazier, Zach",C,Pittsburgh,West Virginia
"Freeland, Blake",OT,Indianapolis,Brigham Young
"Freeman, Royce",RB,Dallas,Oregon
"Freiermuth, Pat",TE,Pittsburgh,Penn State
"French, Wesley",C,Indianapolis,Western Michigan
"Fries, Will",OG,Indianapolis,Penn State
"Froholdt, Hjalte",OG,Arizona,Arkansas
"Fuaga, Taliese",OT,New Orleans,Oregon State
"Fuller, Jordan",DB,Carolina,Ohio State
"Fuller, Kendall",DB,Miami,Virginia Tech
"Fulton, Kristian",DB,LA Chargers,Louisiana State
"Funderburk, Tyrek",DB,Tampa Bay,Appalachian State
"Funk, Jake",RB,Detroit,Maryland
