Player,Pos,Team,College
"Kalinic, Nikola",TE,LA Rams,York (Canada)
"Kamara, Alvin",RB,New Orleans,Tennessee
"Kamara, Mohamed",DE,Miami,Colorado State
"Kamara, Sam",DE,Cleveland,Stony Brook
"Kancey, Calijah",DT,Tampa Bay,Pittsburgh
"Kane, Sanoussi",DB,Baltimore,Purdue
"Kareem, Khalid",DE,Chicago,Notre Dame
"Karlaftis, George",DE,Kansas City,Purdue
"Karras, Ted",C,Cincinnati,Illinois
"Karty, Joshua",K,LA Rams,Stanford
"Kazee, Damontae",DB,Pittsburgh,San Diego State
"Keegan, Trevor",OG,Philadelphia,Michigan
"Keene, Dalton",TE,Houston,Virginia Tech
"Keenum, Case",QB,Houston,Houston
"Kelce, Travis",TE,Kansas City,Cincinnati
"Kelly, John",RB,Cleveland,Tennessee
"Kelly, Kyu Blu",DB,Washington,Stanford
"Kelly, Ryan",C,Indianapolis,Alabama
"Kendall, Anthony",DB,Tennessee,Baldwin-Wallace
"Kendrick, Derion",DB,LA Rams,Georgia
"Kendricks, Eric",LB,Dallas,UCLA
"Kendricks, Mario",DT,Miami,Virginia Tech
"Kennedy, Robert",DB,LA Chargers,North Carolina State
"Kennedy, Tom",WR,Detroit,Bryant
"Key, Arden",LB,Tennessee,Louisiana State
"Key, Devon",DB,Denver,Western Kentucky
"Key, Jaylen",DB,NY Jets,Alabama
"Keys, Lawrence",WR,Buffalo,Tulane
"Keyton, Ramel",WR,Las Vegas,Tennessee
"Kibodi, Jacob",RB,New Orleans,Louisiana-Lafayette
"Kidd, Lewis",OG,Indianapolis,Montana State
"Kieft, Ko",TE,Tampa Bay,Minnesota
"Killebrew, Miles",DB,Pittsburgh,Southern Utah
"Kincaid, Dalton",TE,Buffalo,Utah
"Kinchens, Kamren",DB,LA Rams,Miami
"King, Desmond",DB,Houston,Iowa
"King, Kalen",DB,Green Bay,Penn State
"King, Kevin",DB,Atlanta,Washington
"Kingston, Jarrett",OG,San Francisco,Southern California
"Kinlaw, Javon",DT,NY Jets,South Carolina
"Kinnard, Darian",OT,Philadelphia,Kentucky
"Kinsey, Mason",WR,Tennessee,Berry
"Kirk, Christian",WR,Jacksonville,Texas A&M
"Kirkland, Jaxson",OG,Cincinnati,Washington
"Kirkwood, Keith",WR,Baltimore,Temple
"Kittle, George",TE,San Francisco,Iowa
"Klein, Elijah",OG,Tampa Bay,Texas-El Paso
"Kmet, Cole",TE,Chicago,Notre Dame
"Kneeland, Marshawn",DE,Dallas,Western Michigan
"Knight, Tyrice",LB,Seattle,Texas-El Paso
"Knight, Zonovan",RB,Detroit,North Carolina State
"Knowles, Malik",WR,Minnesota,Kansas State
"Knox, Dawson",TE,Buffalo,Mississippi
"Knox, Trey",TE,Minnesota,South Carolina
"Knue, Tanner",WR,Tampa Bay,Eastern Michigan
"Kohou, Kader",DB,Miami,Texas A&M-Commerce
"Kolar, Charlie",TE,Baltimore,Iowa State
"Koo, Younghoe",K,Atlanta,Georgia Southern
"Koonce, Malcolm",DE,Las Vegas,Buffalo
"Kpassagnon, Tanoh",DE,New Orleans,Villanova
"Kraft, Tucker",TE,Green Bay,South Dakota State
"Kramer, Doug",C,Chicago,Illinois
"Kreiter, Casey",LS,NY Giants,Iowa
"Kromah, Jamree",DE,Chicago,James Madison
"Krull, Lucas",TE,Denver,Pittsburgh
"Kubas, Jake",OG,NY Giants,North Dakota State
"Kuntz, Christian",LS,Pittsburgh,Duquesne
"Kuntz, Zack",TE,NY Jets,Old Dominion
"Kupp, Cooper",WR,LA Rams,Eastern Washington
