Player,Pos,Team,College
"Laap, J.J.",TE,LA Rams,Cortland State
"Lacy, Tyler",DE,Jacksonville,Oklahoma State
"Laing, Brent",C,LA Chargers,Minnesota-Duluth
"Lake, Quentin",DB,LA Rams,UCLA
"Lalos, Niko",DE,New Orleans,Dartmouth
"Lamb, CeeDee",WR,Dallas,Oklahoma
"Lamm, Kendall",OT,Miami,Appalachian State
"Lammons, Chris",DB,Indianapolis,South Carolina
"Lampkin, Cam",DB,LA Rams,Washington State
"Lance, Trey",QB,Dallas,North Dakota State
"Land, Isaiah",DE,Indianapolis,Florida A&M
"Landers, Matt",WR,Cleveland,Arkansas
"Landman, Nate",LB,Atlanta,Colorado
"Landry, Harold",LB,Tennessee,Boston College
"LaPorta, Sam",TE,Detroit,Iowa
"Larson, Blake",OT,LA Rams,Augustana (SD)
"Lassiter, Kamari",DB,Houston,Georgia
"Lassiter, Kwamie",WR,Cincinnati,Kansas
"Latham, Brady",OG,NY Jets,Arkansas
"Latham, JC",OT,Tennessee,Alabama
"Lattimore, Marshon",DB,New Orleans,Ohio State
"Latu, Cameron",TE,San Francisco,Alabama
"Latu, Laiatu",DE,Indianapolis,UCLA
"Laube, Dylan",RB,Las Vegas,New Hampshire
"Laulu, Jonah",DT,Indianapolis,Oklahoma
"Laumea, Sataoa",OG,Seattle,Utah
"Lawrence, Demarcus",DE,Dallas,Boise State
"Lawrence, Dexter",DE,NY Giants,Clemson
"Lawrence, Trevor",QB,Jacksonville,Clemson
"Lazard, Allen",WR,NY Jets,Iowa State
"Leal, DeMarvin",DE,Pittsburgh,Texas A&M
"Leary, Devin",QB,Baltimore,Kentucky
"Leatherwood, Alex",OG,LA Chargers,Alabama
"Leblanc, Peter",WR,Chicago,Louisiana-Lafayette
"Ledbetter, Jeremiah",DT,Jacksonville,Arkansas
"Lee, Logan",DT,Pittsburgh,Iowa
"Lee, Matthew",C,Cincinnati,Miami
"Lee, Ricky",OT,Carolina,North Carolina A&T
"Lee, Shane",LB,LA Chargers,Southern California
"Legette, Xavier",WR,Carolina,South Carolina
"Leglue, John",OG,Atlanta,Tulane
"Lemieux, Shane",OG,New Orleans,Oregon
"Lenoir, Deommodore",DB,San Francisco,Oregon
"Leo, Titus",DE,Indianapolis,Wagner
"Leonard, Deane",DB,LA Chargers,Mississippi
"Leota, Eku",LB,Carolina,Auburn
"Letuligasenoa, Tuli",DT,LA Rams,Washington
"Levao, Kohl",OL,NY Jets,Hawaii
"Levelston, DeVere",DT,Seattle,Southern Methodist
"Leverett, Nick",OG,New England,Rice
"Leveston, Kaitori",OG,LA Rams,Kansas State
"Levin, Corey",C,Tennessee,Tennessee-Chattanooga
"Levis, Will",QB,Tennessee,Kentucky
"Lewis, Cameron",DB,Buffalo,Buffalo
"Lewis, Damien",OG,Carolina,Louisiana State
"Lewis, Jourdan",DB,Dallas,Michigan
"Lewis, Kobe",RB,Seattle,Florida Atlantic
"Lewis, Marcedes",TE,Chicago,UCLA
"Lewis, Terrell",LB,Philadelphia,Alabama
"Lewis, Tyquan",DE,Indianapolis,Ohio State
"Likely, Isaiah",TE,Baltimore,Coastal Carolina
"Limmer, Beaux",C,LA Rams,Arkansas
"Linderbaum, Tyler",C,Baltimore,Iowa
"Lindstrom, Chris",OG,Atlanta,Boston College
"Lingard, Lorenzo",RB,Jacksonville,Akron
"Little, Cam",K,Jacksonville,Arkansas
"Little, Walker",OT,Jacksonville,Stanford
"Liufau, Marist",LB,Dallas,Notre Dame
"Lloyd, Devin",LB,Jacksonville,Utah
"Lloyd, MarShawn",RB,Green Bay,Southern California
"Lock, Drew",QB,NY Giants,Missouri
"Locke, P.J.",DB,Denver,Texas
"Lockett, Tyler",WR,Seattle,Kansas State
"Logan, Kenny",DB,LA Rams,Kansas
"Logue, Zion",DT,Atlanta,Georgia
"Lombardi, Rocky",QB,Cincinnati,Northern Illinois
"London, Drake",WR,Atlanta,Southern California
"London, LaCale",DL,Atlanta,Western Illinois
"Long, David",DB,NY Giants,Michigan
"Long, David",LB,Miami,West Virginia
"Long, Hunter",TE,LA Rams,Boston College
"Lopez, Roy",DT,Arizona,Arizona
"Loudermilk, Isaiahh",DT,Pittsburgh,Wisconsin
"Lovato, Rick",LS,Philadelphia,Old Dominion
"Love, Jordan",QB,Green Bay,Utah State
"Love, Julian",DB,Seattle,Notre Dame
"Lovely, Keni-H",DB,Buffalo,Western Michigan
"Lovett, Fabien",DT,Kansas City,Florida State
"Lowe, Vederian",OT,New England,Illinois
"Lowry, Dean",DT,Pittsburgh,Northwestern
"Lucas, Abraham",OT,Seattle,Washington State
"Lucas, Chase",DB,San Francisco,Arizona State
"Lucas, Cornelius",OT,Washington,Kansas State
"Luciano, Corey",C,Las Vegas,Washington
"Luepke, Hunter",RB,Dallas,North Dakota State
"Luketa, Jesse",LB,Arizona,Penn State
"Luter, Darrell",DB,San Francisco,South Alabama
"Lutz, Wil",K,Denver,Georgia State
"Luvu, Frankie",LB,Washington,Washington State
"Lynch, James",DT,Minnesota,Baylor
"Lynn, Nate",DE,Detroit,William & Mary
"Lyons, Cameron",LS,Chicago,North Carolina-Charlotte
