Player,Pos,Team,College
"O'Connell, Aidan",QB,Las Vegas,Purdue
"O'Connell, Patrick",LB,Seattle,Montana
"O'Donnell, Carter",OT,Arizona,Alberta
"O'Neal, Raiqwon",OT,Seattle,UCLA
"O'Neill, Brian",OT,Minnesota,Pittsburgh
"Obada, Efe",DE,Washington,--
"Odeyingbo, Dayo",DE,Indianapolis,Vanderbilt
"Odighizuwa, Osa",DT,Dallas,UCLA
"Odukoya, Thomas",TE,Tennessee,Eastern Michigan
"Odum, George",DB,San Francisco,Central Arkansas
"Odumegwu, Kenneth",LB,Green Bay,--
"Odunze, Rome",WR,Chicago,Washington
"Ogbah, Emmanuel",DE,Miami,Oklahoma State
"Ogbongbemiga, Amen",LB,Chicago,Oklahoma State
"Ogbonnia, Otito",DT,LA Chargers,UCLA
"Oghoufo, Ovie",DE,NY Giants,Louisiana State
"Oginni, Kehinde",DE,Atlanta,--
"Ogletree, Andrew",TE,Indianapolis,Youngstown State
"Ogunbowale, Dare",RB,Houston,Wisconsin
"Ogunjobi, Larry",DT,Pittsburgh,North Carolina-Charlotte
"Ojabo, David",LB,Baltimore,Michigan
"Ojemudia, Michael",DB,Arizona,Iowa
"Ojomo, Moro",DT,Philadelphia,Texas
"Ojukwu, John",OT,Tennessee,Boise State
"Ojulari, Azeez",LB,NY Giants,Georgia
"Ojulari, BJ",LB,Arizona,Louisiana State
"Okada, Ty",DB,Seattle,Montana State
"Okereke, Bobby",LB,NY Giants,Stanford
"Okonkwo, Chigoziem",TE,Tennessee,Maryland
"Okorafor, Chimemela",OT,Cleveland,Benedictine (KS)
"Okorafor, Chukwuma",OT,New England,Western Michigan
"Okoronkwo, Ogbonnia",DE,Cleveland,Oklahoma
"Okoye, Basil",DT,LA Chargers,--
"Okuayinonu, Sam",DT,San Francisco,Maryland
"Okudah, Jeffrey",DB,Houston,Ohio State
"Okwara, Julian",LB,Philadelphia,Notre Dame
"Okwuegbunam, Albert",TE,Philadelphia,Missouri
"Oladapo, Kitan",DB,Green Bay,Oregon State
"Oladokun, Chris",QB,Kansas City,South Dakota State
"Olajiga, David",DT,LA Rams,Central Missouri State
"Olatoke, Praise",WR,LA Chargers,Ohio State
"Olave, Chris",WR,New Orleans,Ohio State
"Oliver, Bryce",WR,Tennessee,Youngstown State
"Oliver, Ed",DT,Buffalo,Houston
"Oliver, Isaiah",DB,NY Jets,Colorado
"Oliver, Josh",TE,Minnesota,San Jose State
"Olszewski, Gunner",WR,NY Giants,Bemidji State
"Olubi, Segun",LB,Indianapolis,San Diego State
"Oluokun, Foyesade",LB,Jacksonville,Yale
"Oluwatimi, Olusegun",C,Seattle,Michigan
"Omenihu, Charles",DE,Kansas City,Texas
"Onujiogu, Joshua",LB,Seattle,Framingham
"Onwenu, Michael",OG,New England,Michigan
"Onwuzurike, Levi",DE,Detroit,Washington
"Onyemata, David",DT,Atlanta,Manitoba
"Opeta, Iosua",OG,Tampa Bay,Weber State
"Orhorhoro, Ruke",DT,Atlanta,Clemson
"Orji, Anfernee",LB,New Orleans,Vanderbilt
"Oruwariye, Amani",DB,Jacksonville,Penn State
"Orzech, Matt",LS,Green Bay,Azusa Pacific
"Osborn, K.J.",WR,New England,Miami
"Ossai, Joseph",DE,Cincinnati,Texas
"Otomewo, Esezi",DE,Jacksonville,Minnesota
"Ott, Tyler",LS,Washington,Harvard
"Otton, Cade",TE,Tampa Bay,Washington
"Overshown, DeMarvion",LB,Dallas,Texas
"Oweh, Jayson",LB,Baltimore,Penn State
"Owens, Gervarrius",DB,NY Giants,Houston
"Owens, Jonathan",DB,Chicago,Missouri Western State
"Owens, Terique",WR,San Francisco,Missouri State
"Owens, Tyler",DB,Washington,Texas Tech
"Owusu-Koramoah, Jeremiah",LB,Cleveland,Notre Dame
