Player,Pos,Team,College
"Radunz, Dillon",OT,Tennessee,North Dakota State
"Ragnow, Frank",C,Detroit,Arkansas
"Raimann, Bernhard",OT,Indianapolis,Central Michigan
"Rakestraw, Ennis",DB,Detroit,Missouri
"Ramczyk, Ryan",OT,New Orleans,Wisconsin
"Ramirez, Jose",LB,Tampa Bay,Eastern Michigan
"Ramsey, Jalen",DB,Miami,Florida State
"Randolph, Keith",DT,Chicago,Illinois
"Rankins, Sheldon",DT,Cincinnati,Louisville
"Rapp, Taylor",DB,Buffalo,Washington
"Rattler, Spencer",QB,New Orleans,South Carolina
"Ravenell, CJ",DE,Baltimore,Missouri Western State
"Ray, LaBryan",DT,Carolina,Alabama
"Ray, Shane",DL,Tennessee,Missouri
"Raym, Andrew",C,Carolina,Oklahoma
"Raymond, Kalif",WR,Detroit,Holy Cross
"Reader, D.J.",DT,Detroit,Clemson
"Reagor, Jalen",WR,New England,Texas Christian
"Reaves, Jeremy",DB,Washington,South Alabama
"Redmond, Jalen",DE,Minnesota,Oklahoma
"Redwine, Sheldrick",DB,Dallas,Miami
"Reed, Austin",QB,Chicago,Western Kentucky
"Reed, Christopher",OG,Houston,Mankato State
"Reed, D.J.",DB,NY Jets,Kansas State
"Reed, Jarran",DT,Seattle,Alabama
"Reed, Jayden",WR,Green Bay,Michigan State
"Reed, Jerrick",DB,Seattle,New Mexico
"Reeder, Troy",LB,LA Rams,Delaware
"Rees-Zammit, Louis",RB,Kansas City,--
"Reese, Otis",LB,Tennessee,Mississippi
"Reeves-Maybin, Jalen",LB,Detroit,Tennessee
"Rehkow, Ryan",P,Cincinnati,Brigham Young
"Reichard, Will",K,Minnesota,Alabama
"Reid, Justin",DB,Kansas City,Stanford
"Reid, Winston",LB,Cleveland,Weber State
"Reiman, Tip",TE,Arizona,Illinois
"Remigio, Nikko",WR,Kansas City,Fresno State
"Reyes, Sammis",TE,Minnesota,Tulane
"Reynolds, Craig",RB,Detroit,Kutztown
"Reynolds, Josh",WR,Denver,Texas A&M
"Rhattigan, Jon",LB,Seattle,Army
"Rhodes, Luke",LS,Indianapolis,William & Mary
"Rhyan, Sean",OG,Green Bay,UCLA
"Ricard, Patrick",RB,Baltimore,Maine
"Ricci, Giovanni",TE,Cleveland,Western Michigan
"Rice, Brenden",WR,LA Chargers,Southern California
"Rice, Monty",LB,New Orleans,Georgia
"Rice, Rashee",WR,Kansas City,Southern Methodist
"Richards, Asim",OT,Dallas,North Carolina
"Richardson, Anthony",QB,Indianapolis,Florida
"Richardson, Decamerion",DB,Las Vegas,Mississippi State
"Richardson, Demani",DB,Carolina,Texas A&M
"Richardson, Devin",LB,Seattle,Washington State
"Richter, Bo",DE,Minnesota,Air Force
"Ricks, Eli",DB,Philadelphia,Alabama
"Ridder, Desmond",QB,Arizona,Cincinnati
"Ridgeway, John",DT,Washington,Arkansas
"Ridley, Calvin",WR,Tennessee,Alabama
"Rigby, Yvandy",LB,Baltimore,Temple
"Rigerman, Mike",TE,Baltimore,Findlay
"Riley, Duke",LB,Miami,Louisiana State
"Riley, Elijah",DB,NY Giants,Army
"Riley, Jordon",DT,NY Giants,Oregon
"Riley, Marcus",WR,NY Jets,Florida A&M
"Ringo, Kelee",DB,Philadelphia,Georgia
"Risner, Dalton",OG,Minnesota,Kansas State
"Rivers, Ronnie",RB,LA Rams,Fresno State
"Roach, Malcolm",DT,Denver,Texas
"Robbins, Aidan",RB,Cleveland,Brigham Young
"Robbins, Brad",P,Cincinnati,Michigan
"Roberts, Elandon",LB,Pittsburgh,Houston
"Roberts, Sam",DT,New England,Northwest Missouri State
"Robertson, Amik",DB,Detroit,Louisiana Tech
"Robertson-Harris, Roy",DE,Jacksonville,Texas-El Paso
"Robinson, A'Shawn",DT,Carolina,Alabama
"Robinson, Allen",WR,NY Giants,Penn State
"Robinson, Bijan",RB,Atlanta,Texas
"Robinson, Brian",RB,Washington,Alabama
"Robinson, Cam",OT,Jacksonville,Alabama
"Robinson, Curtis",LB,San Francisco,Stanford
"Robinson, Darius",DT,Arizona,Missouri
"Robinson, Demarcus",WR,LA Rams,Florida
"Robinson, Demeioun",DE,Miami,Penn State
"Robinson, Dominique",LB,Chicago,Miami (OH)
"Robinson, James",RB,New Orleans,Illinois State
"Robinson, Jammie",DB,Carolina,Florida State
"Robinson, Janarius",DE,Las Vegas,Florida State
"Robinson, Keilan",RB,Jacksonville,Texas
"Robinson, Lance",DB,Cincinnati,Tulane
"Robinson, Layden",OG,New England,Texas A&M
"Robinson, Mark",LB,Pittsburgh,Mississippi
"Robinson, Tavius",LB,Baltimore,Mississippi
"Robinson, Tyrese",OG,Minnesota,Oklahoma
"Robinson, Wan'Dale",WR,NY Giants,Kentucky
"Rochell, Robert",DB,Green Bay,Central Arkansas
"Rodgers, Aaron",QB,NY Jets,California
"Rodgers, Isaiah",DB,Philadelphia,Massachusetts
"Rodriguez, Christopher",RB,Washington,Kentucky
"Rodriguez, Levi Drake",DT,Minnesota,Texas A&M-Commerce
"Rodriguez, Malcolm",LB,Detroit,Oklahoma State
"Rogers, Armani",TE,Washington,Ohio
"Rogers, Casey",DT,NY Giants,Oregon
"Rogers, Justin",DT,Dallas,Auburn
"Roland-Wallace, Christian",DB,Kansas City,Southern California
"Rolland, Spencer",OT,Minnesota,North Carolina
"Rosemy-Jacksaint, Marcus",WR,Washington,Georgia
"Rosengarten, Roger",OT,Baltimore,Washington
"Ross, D'Angelo",DB,Houston,New Mexico
"Ross, John",WR,Philadelphia,Washington
"Ross, Josh",LB,Baltimore,Michigan
"Ross, Justyn",WR,Kansas City,Clemson
"Rouse, Walter",OT,Minnesota,Oklahoma
"Rousseau, Gregory",DE,Buffalo,Miami
"Roy, Jaquelin",DT,Minnesota,Louisiana State
"Rozeboom, Christian",LB,LA Rams,South Dakota State
"Rucci, Hayden",TE,Miami,Wisconsin
"Ruckert, Jeremy",TE,NY Jets,Ohio State
"Rudolph, Mason",QB,Tennessee,Oklahoma State
"Ruiz, Cesar",OG,New Orleans,Michigan
"Rumph, Chris",LB,LA Chargers,Duke
"Runyan, Jon",OG,NY Giants,Michigan
"Rupcich, Andrew",OT,Tennessee,Culver-Stockton
"Rush, Cooper",QB,Dallas,Central Michigan
"Rush, Darius",DB,Pittsburgh,South Carolina
"Rush, Thomas",LB,Tennessee,Minnesota
"Russell, Brady",TE,Seattle,Colorado
"Russell, J.J.",LB,Tampa Bay,Memphis
"Russell, Jotham",LB,New England,--
"Ryan, Sean",WR,Baltimore,Rutgers
"Ryland, Chad",K,New England,Maryland
"Rypien, Brett",QB,Chicago,Boise State
