Player,Pos,Team,College
"Sainristil, Mike",DB,Washington,Michigan
"Saldiveri, Nick",OG,New Orleans,Old Dominion
"Salyer, Jamaree",OG,LA Chargers,Georgia
"Sam, Andre'",DB,Philadelphia,Louisiana State
"Samac, Nick",C,Baltimore,Michigan State
"Sample, Cameron",DE,Cincinnati,Tulane
"Sample, Drew",TE,Cincinnati,Washington
"Samuel, Asante",DB,LA Chargers,Florida State
"Samuel, Curtis",WR,Buffalo,Ohio State
"Samuel, Deebo",WR,San Francisco,South Carolina
"Sanborn, Jack",LB,Chicago,Wisconsin
"Sanchez, Rigoberto",P,Indianapolis,Hawaii
"Sanders, Braylon",WR,Miami,Mississippi
"Sanders, Drew",LB,Denver,Arkansas
"Sanders, Ja'Tavion",TE,Carolina,Texas
"Sanders, Jason",K,Miami,New Mexico
"Sanders, Miles",RB,Carolina,Penn State
"Sanders, Shedeur",QB,Cleveland,Colorado
"Sanford, Phalen",DB,Las Vegas,Nebraska
"Santos, Cairo",K,Chicago,Tulane
"Sapp, Benny",DB,Green Bay,Northern Iowa
"Sarell, Foster",OT,LA Chargers,Stanford
"Saubert, Eric",TE,San Francisco,Drake
"Saunders, Khalen",DT,New Orleans,Western Illinois
"Savage, Darnell",DB,Jacksonville,Maryland
"Saylors, Jacob",RB,NY Giants,East Tennessee State
"Scales, Patrick",LS,Chicago,Utah State
"Scates, Joseph",WR,Jacksonville,Memphis
"Scharping, Max",OG,Philadelphia,Northern Illinois
"Scherff, Brandon",OG,Jacksonville,Iowa
"Schlottmann, Austin",C,NY Giants,Texas Christian
"Schmitz, John Michael",C,NY Giants,Minnesota
"Schnee, Sam",RB,Tennessee,Northern Iowa
"Schooler, Brenden",DB,New England,Texas
"Schoonmaker, Luke",TE,Dallas,Michigan
"Schrader, Cody",RB,San Francisco,Missouri
"Schultz, Dalton",TE,Houston,Stanford
"Schwartz, Anthony",WR,Miami,Auburn
"Schweitzer, Wes",C,NY Jets,San Jose State
