Player,Pos,Team,College
"Vakalahi, Laekin",DT,Philadelphia,--
"Vaki, Sione",DB,Detroit,Utah
"Valdes-Scantling, Marquez",WR,Buffalo,South Florida
"Valentine, Carrington",DB,Green Bay,Kentucky
"Valladay, Xazavian",RB,NY Jets,Arizona State
"Van Demark, Ryan",OT,Buffalo,Connecticut
"Van Ginkel, Andrew",LB,Minnesota,Wisconsin
"Van Lanen, Cole",OG,Jacksonville,Wisconsin
"Van Ness, Lukas",LB,Green Bay,Iowa
"Van Noy, Kyle",LB,Baltimore,Brigham Young
"Van Pran, Sedrick",C,Buffalo,Georgia
"Vandenburgh, Zeke",LB,Miami,Illinois State
"Vannett, Nick",TE,Tennessee,Ohio State
"VanSumeren, Ben",LB,Philadelphia,Michigan State
"VanValkenburg, Zach",LB,LA Rams,Iowa
"Vaughn, Deuce",RB,Dallas,Kansas State
"Vaughns, Byron",LB,Dallas,Baylor
"Vaval, Trey",DB,Atlanta,Minnesota State
"Vea, Vita",DT,Tampa Bay,Washington
"Vele, Devaughn",WR,Denver,Utah
"Vera-Tucker, Alijah",OG,NY Jets,Southern California
"Vernon, Seth",P,Minnesota,Portland State
"Verse, Jared",DE,LA Rams,Florida State
"Vickers, Kendal",DT,New Orleans,Tennessee
"Victor, Mychal",DB,New England,Alabama State
"Vidal, Kimani",RB,LA Chargers,Troy State
"Vilain, Luiji",LB,Carolina,Wake Forest
"Vildor, Kindle",DB,Detroit,Georgia Southern
"Virgil, Jalen",WR,Denver,Appalachian State
"Vokolek, Travis",TE,Arizona,Nebraska
"Volson, Cordell",OG,Cincinnati,North Dakota State
"Vorhees, Andrew",OG,Baltimore,Southern California
