Player,Pos,Team,College
"Waddle, Jaylen",WR,Miami,Alabama
"Wade, Dayton",WR,Baltimore,Mississippi
"Wade, Shaun",DB,New England,Ohio State
"Waege, Spencer",DE,Green Bay,North Dakota State
"Wagner, Bobby",LB,Washington,Utah State
"Wagner, Dalton",OT,Las Vegas,Arkansas
"Waitman, Corliss",P,Chicago,South Alabama
"Waletzko, Matt",OT,Dallas,North Dakota
"Walker, Anthony",LB,Miami,Northwestern
"Walker, DeMarcus",DE,Chicago,Florida State
"Walker, Devontez",WR,Baltimore,North Carolina
"Walker, Kenneth",RB,Seattle,Michigan State
"Walker, Mykal",LB,Washington,Fresno State
"Walker, Phillip",QB,Seattle,Temple
"Walker, Quay",LB,Green Bay,Georgia
"Walker, Rasheed",OT,Green Bay,Penn State
"Walker, Travon",LB,Jacksonville,Georgia
"Wallace, Caedan",OT,New England,Penn State
"Wallace, Josh",DB,LA Rams,Michigan
"Wallace, K'Von",DB,Seattle,Clemson
"Wallace, Levi",DB,Denver,Alabama
"Wallace, Trevin",LB,Carolina,Kentucky
"Wallace, Tylan",WR,Baltimore,Oklahoma State
"Wallis, David",WR,New England,Randolph-Macon
"Wallow, Garret",LB,Tennessee,Texas Christian
"Walthour, Tramel",DT,Baltimore,Georgia
"Walton, Brandon",OT,Tampa Bay,Florida Atlantic
"Walton, Zamari",DB,LA Chargers,Mississippi
"Ward, Alex",LS,LA Rams,Central Florida
"Ward, Cam",QB,Tennessee,Miami FL
"Ward, Charvarius",DB,San Francisco,Middle Tennessee State
"Ward, Denzel",DB,Cleveland,Ohio State
"Ward, Jay",DB,Minnesota,Louisiana State
"Ward, Jihad",LB,Minnesota,Illinois
"Ward, Jimmie",DB,Houston,Northern Illinois
"Ward, Jonathan",RB,Pittsburgh,Central Michigan
"Warner, Fred",LB,San Francisco,Brigham Young
"Warren, Carter",OT,NY Jets,Pittsburgh
"Warren, Jacob",TE,New England,Tennessee
"Warren, Jaylen",RB,Pittsburgh,Oklahoma State
"Warren, Tyler",TE,Indianapolis,Penn State
"Washington, Ar'Darius",DB,Baltimore,Texas Christian
"Washington, Broderick",DT,Baltimore,Texas Tech
"Washington, Carlos",RB,Atlanta,Southeastern Louisiana
"Washington, Casey",WR,Atlanta,Illinois
"Washington, Darnell",TE,Pittsburgh,Georgia
"Washington, Isaiah",WR,Baltimore,Rutgers
"Washington, Malik",WR,Miami,Virginia
"Washington, Montrell",WR,Kansas City,Samford
"Washington, Parker",WR,Jacksonville,Penn State
"Washington, Scotty",TE,Baltimore,Wake Forest
"Washington, Tahj",WR,Miami,Southern California
"Watkins, Austin",WR,Philadelphia,Alabama-Birmingham
"Watkins, Quez",WR,Pittsburgh,Southern Mississippi
"Watson, Blake",RB,Denver,Memphis
"Watson, Christian",WR,Green Bay,North Dakota State
"Watson, Deshaun",QB,Cleveland,Clemson
"Watson, Jaylen",DB,Kansas City,Washington State
"Watson, Justin",WR,Kansas City,Pennsylvania
"Watson, Leroy",OT,Tennessee,Texas-San Antonio
"Watson, Nathaniel",LB,Cleveland,Mississippi State
"Watt, T.J.",LB,Pittsburgh,Wisconsin
"Wattenberg, Luke",C,Denver,Washington
"Watts, Armon",DT,New England,Arkansas
"Watts, Duece",WR,Pittsburgh,Tulane
"Watts, Eric",DE,NY Jets,Connecticut
"Watts, Markees",LB,Tampa Bay,North Carolina-Charlotte
"Watts, Ryan",DB,Pittsburgh,Texas
"Way, Tress",P,Washington,Oklahoma
"Wayne, Jalen",WR,Green Bay,South Alabama
"Weaver, Rashad",LB,Tennessee,Pittsburgh
"Weaver, Xavier",WR,Arizona,Colorado
"Webb, Raleigh",WR,Tampa Bay,Citadel
"Webb, Sam",DB,Las Vegas,Missouri Western State
"Webster, Nsimba",WR,Chicago,Eastern Washington
"Weeks, Jonathan",LS,Houston,Baylor
"Welch, Kristian",LB,Green Bay,Iowa
"Welch, Treyton",TE,Cleveland,Wyoming
"Wells, David",TE,Tampa Bay,San Diego State
"Welschof, Julius",DE,Pittsburgh,North Carolina-Charlotte
"Wentz, Carson",QB,Kansas City,North Dakota State
"Werner, Pete",LB,New Orleans,Ohio State
"Wesley, Barry",OL,Atlanta,Colorado State
"Westbrook, Nick",WR,Tennessee,Indiana
"Westover, Jack",TE,Seattle,Washington
"Wharton, Tershawn",DT,Kansas City,Missouri-Rolla
"Wheat, Tyrus",DE,Dallas,Mississippi State
"Wheatley Jr., Tyrone",OT,New England,Morgan State
"Wheeler, Ian",RB,Chicago,Howard
"Whelan, Daniel",P,Green Bay,California-Davis
"White, Cody",WR,Seattle,Michigan State
"White, David",WR,Jacksonville,Western Carolina
"White, Devin",LB,Philadelphia,Louisiana State
"White, Javin",LB,Chicago,Nevada-Las Vegas
"White, Keion",DE,New England,Georgia Tech
"White, Kyzir",LB,Arizona,West Virginia
"White, Mike",QB,Miami,Western Kentucky
"White, Rachaad",RB,Tampa Bay,Arizona State
"White, Tre'Davious",DB,LA Rams,Louisiana State
"White, Zamir",RB,Las Vegas,Georgia
"Whitehair, Cody",C,Las Vegas,Kansas State
"Whitehead, Jordan",DB,Tampa Bay,Pittsburgh
"Whiteheart, Blake",TE,Arizona,Wake Forest
"Whiteside, Nick",DB,Washington,Saginaw Valley State
"Whitley, Benton",LB,NY Giants,Holy Cross
"Whittington, Jordan",WR,LA Rams,Texas
"Whyle, Josh",TE,Tennessee,Cincinnati
"Wicks, Dontayvion",WR,Green Bay,Virginia
"Wiggins, Nate",DB,Baltimore,Clemson
"Wiglusz, Sam",WR,LA Rams,Ohio
"Wilcox, Chris",DB,LA Chargers,Brigham Young
"Wilcox, Mitchell",TE,New England,South Florida
"Wiley, Jared",TE,Kansas City,Texas Christian
"Wiley, Michael",RB,Washington,Arizona
"Wilkerson, Kristian",WR,Las Vegas,Southeast Missouri State
"Wilkins, Christian",DT,Las Vegas,Clemson
"Wilkinson, Elijah",OG,Arizona,Massachusetts
"Williams, Avery",RB,Atlanta,Boise State
"Williams, Bucky",C,LA Chargers,Appalachian State
"Williams, Caleb",QB,Chicago,Southern California
"Williams, Chris",DT,Cleveland,Wagner
"Williams, D.J.",RB,Tampa Bay,Arizona
"Williams, Damarion",DB,Baltimore,Houston
"Williams, Darious",DB,LA Rams,Alabama-Birmingham
"Williams, Darryl",C,Jacksonville,Mississippi State
"Williams, DeShawn",DT,Buffalo,Clemson
"Williams, Dee",WR,Seattle,Tennessee
"Williams, Dorian",LB,Buffalo,Tulane
"Williams, Evan",DB,Green Bay,Oregon
"Williams, Garrett",DB,Arizona,Syracuse
"Williams, Isaiah",WR,Detroit,Illinois
"Williams, Jamaal",RB,New Orleans,Brigham Young
"Williams, James",DB,Tennessee,Miami
"Williams, Jameson",WR,Detroit,Alabama
"Williams, Javonte",RB,Denver,North Carolina
"Williams, Jaylin",DB,Minnesota,Indiana
"Williams, Jonah",OT,Arizona,Alabama
"Williams, Jonah",DE,Minnesota,Weber State
"Williams, Joshua",DB,Kansas City,Fayetteville State
"Williams, Kyren",RB,LA Rams,Notre Dame
"Williams, Leonard",DE,Seattle,Southern California
"Williams, Marcus",DB,Baltimore,Utah
"Williams, Mike",WR,NY Jets,Clemson
"Williams, Milton",DT,Philadelphia,Louisiana Tech
"Williams, Quincy",LB,NY Jets,Murray State
"Williams, Quinnen",DT,NY Jets,Alabama
"Williams, Raequan",DE,Carolina,Michigan State
"Williams, Rayshad",DB,Las Vegas,Texas Tech
"Williams, Rodney",TE,Pittsburgh,Tennessee-Martin
"Williams, Sam",DE,Dallas,Mississippi
"Williams, Seth",WR,Jacksonville,Auburn
"Williams, Trayveon",RB,Cincinnati,Texas A&M
"Williamson, Kendall",DB,Buffalo,Stanford
"Willis, Brayden",TE,San Francisco,Oklahoma
"Willis, Malik",QB,Tennessee,Liberty
"Wills, Jedrick",OT,Cleveland,Alabama
"Wilson, Cedrick",WR,New Orleans,Boise State
"Wilson, Damien",LB,Dallas,Minnesota
"Wilson, Divaad",DB,Arizona,Central Florida
"Wilson, Donovan",DB,Dallas,Texas A&M
"Wilson, Emanuel",RB,Green Bay,Fort Valley State
"Wilson, Eric",LB,Green Bay,Cincinnati
"Wilson, Garrett",WR,NY Jets,Ohio State
"Wilson, Jeffery",RB,Miami,North Texas
"Wilson, Joel",TE,Green Bay,Central Michigan
"Wilson, Johnny",WR,Philadelphia,Florida State
"Wilson, Logan",LB,Cincinnati,Wyoming
"Wilson, Mack",LB,Arizona,Alabama
"Wilson, Marco",DB,New England,Florida
"Wilson, Michael",WR,Arizona,Stanford
"Wilson, Payton",LB,Pittsburgh,North Carolina State
"Wilson, Roman",WR,Pittsburgh,Michigan
"Wilson, Russell",QB,Pittsburgh,Wisconsin
"Wilson, Tyree",DE,Las Vegas,Texas Tech
"Wilson, Zach",QB,Denver,Brigham Young
"Winchester, James",LS,Kansas City,Oklahoma
"Windmon, Jacoby",LB,Pittsburgh,Michigan State
"Winfield, Antoine",DB,Tampa Bay,Minnesota
"Winfree, Juwann",WR,Indianapolis,Colorado
"Wingard, Andrew",DB,Jacksonville,Wyoming
"Wingo, Mekhi",DT,Detroit,Louisiana State
"Winn, Dresser",QB,LA Rams,Tennessee-Martin
"Winston, Easop",WR,Seattle,Washington State
"Winston, Jameis",QB,Cleveland,Florida State
"Winters, Dee",LB,San Francisco,Texas Christian
"Wirfs, Tristan",OT,Tampa Bay,Iowa
"Wisdom, Rashad",DB,Tampa Bay,Texas-San Antonio
"Wise, Deatrich",DE,New England,Arkansas
"Wishnowsky, Mitch",P,San Francisco,Utah
"Witherspoon, Devon",DB,Seattle,Illinois
"Witt, Jake",OT,Indianapolis,Northern Michigan
"Woerner, Charlie",TE,Atlanta,Georgia
"Wolford, John",QB,Tampa Bay,Wake Forest
"Womack, Sam",DB,San Francisco,Toledo
"Wonnum, D.J.",LB,Carolina,South Carolina
"Wood, Julius",DB,Dallas,East Carolina
"Wood, Zach",LS,New Orleans,Southern Methodist
"Wooden, Colby",DE,Green Bay,Auburn
"Woods, A.J.",DB,Washington,Pittsburgh
"Woods, Charles",DB,LA Rams,Southern Methodist
"Woods, JT",DB,LA Chargers,Baylor
"Woods, Jelani",TE,Indianapolis,Virginia
"Woods, Michael",WR,Cleveland,Oklahoma
"Woods, Robert",WR,Houston,Southern California
"Woods, Xavier",DB,Carolina,Louisiana Tech
"Woodside, Logan",QB,Cincinnati,Toledo
"Woolen, Tariq",DB,Seattle,Texas-San Antonio
"Wooten, Chandler",LB,Carolina,Auburn
"Worley, Daryl",DB,Baltimore,West Virginia
"Worthy, Xavier",WR,Kansas City,Texas
"Wright, Alex",DE,Cleveland,Alabama-Birmingham
"Wright, Brock",TE,Detroit,Notre Dame
"Wright, Darnell",OT,Chicago,Tennessee
"Wright, Jaylen",RB,Miami,Tennessee
"Wright, Matthew",K,Pittsburgh,Central Florida
"Wright, Nahshon",DB,Dallas,Oregon State
"Wright, Owen",RB,Baltimore,Monmouth
"Wright, Rejzohn",DB,New Orleans,Oregon State
"Wright, Ryan",P,Minnesota,Tulane
"Wyatt, Devonte",DT,Green Bay,Georgia
"Wylie, Andrew",OT,Washington,Eastern Michigan
"Wynn, Isaiah",OT,Miami,Georgia
"Wypler, Luke",C,Cleveland,Ohio State
