Rank,None,Player,ADP,Bye,Age,None,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,3D Value,DS Analysis
1,,"Marvin Harrison Jr.
WR ARI",1.01,11,22.0,,153.4,458,807,1613,66,"Harrison looks like the best WR prospect in recent years. He’s a route-running specialist at 6’3, 205 pounds, capable of chewing up yards post-catch. He proved it at Ohio State with 144 catches, 2,474 yards, and 28 TDs over the past two seasons. Included in there: A breakout true sophomore season that ended with a Biletnikoff Award. He’s a potential top-5 fantasy asset within a few seasons."
2,,"Malik Nabers
WR NYG",1.02,11,21.1,,152.1,454,768,1520,62,"Nabers declared for the draft after ranking top eight nationally in catches, yards, and TDs per game. The 21-year-old combines exciting deep chops with angry run-after-catch ability. After just a few minutes of watching him, you can tell his play speed is on another level. While he passed on NFL Combine testing, Nabers was never dropping out of the top 10. Despite a shaky landing spot, Nabers should flourish in New York long-term."
3,,"Rome Odunze
WR CHI",1.03,7,22.2,,110.8,396,725,1490,54,"Following a breakout sophomore season, Odunze’s production hit another level in 2023 (92-1,640-13). In fact, he led the nation in receiving yards., Odunze boasts plus size (6’3, 215) and athletic traits and earned a Larry Fitzgerald comp from NFL Network’s Lance Zierlein. His dynasty ceiling extends into WR1 range."
4,,"Xavier Worthy
WR KC",1.06,6,21.3,,133.4,396,661,1260,48,"Worthy earned freshman All-America honors in 2021, easily pacing the Longhorns in catches (62), yards (981), and TDs (12). The slender speedster remained productive over the past two seasons while catching passes from a potential Round 1 QB in the 2025 draft (Quinn Ewers). He then broke the record for fastest forty time at the NFL Combine (4.21). You couldn't ask for a better landing spot than Kansas City."
5,,"Jonathon Brooks
RB CAR",1.07,11,21.1,,138.8,404,662,1117,45,"With Bijan Robinson in the pros, Brooks’ time to shine arrived in 2023. And he did, ranking top-10 nationally in yards after contact per attempt and Pro Football Focus’ elusive rating. He proved explosive as a pass-catcher, too. Just one problem: Brooks’ season ended with a November ACL tear, putting his availability in question for Week 1 of 2024. Long term, he projects as a multi-year RB1."
6,,"Brian Thomas Jr.
WR JAC",1.10,12,21.9,,109.8,359,643,1318,45,"Playing alongside QB Jayden Daniels and WR Malik Nabers, Thomas enjoyed a third-year breakout. He led LSU in TD catches in 2023 (17) and nearly matched Nabers in yards per catch (17.3 to 17.6). Thomas is a long strider at 6’2, 209 pounds and tracks the ball like a veteran. He also brings desirable NFL athleticism (4.34 forty, 38.5-inch vertical). Jacksonville gives him a shot to eventually develop into the No. 1 target for Trevor Lawrence."
7,,"Keon Coleman
WR BUF",1.09,12,21.3,,105,337,576,1161,38,"Coleman spent his first two seasons at Michigan State, even garnering a spot on the basketball team. After a 2022 breakout (58-798-7), Coleman transferred to FSU in 2023. Despite disappearing in some games, he remained a scoring machine (22% TD rate) at an imposing 6’4, 215 pounds. Coleman’s not a burner but sports a skill set similar to Tee Higgins'. Consider him an enticing match for playmaking QB Josh Allen."
8,,"Brock Bowers
TE LVR",1.04,10,21.7,,98.6,284,471,893,38,"Since 2000, only five TEs have been top-10 draft picks. Bowers almost became the sixth this year following an electric three-year run at Georgia. A George Kittle clone, Bowers led the team or tied for the lead in catches, yards, and receiving TDs across all three seasons. He needed tightrope surgery for a high-ankle sprain in 2023 but made a stunning recovery to play only 26 days later. Consider Bowers one of the “safest” fantasy prospects in... Continue Reading »"
9,,"Trey Benson
RB ARI",1.11,11,22.1,,94.5,353,613,1087,36,"Benson’s college career started ominously with a multi-ligament knee tear at Oregon (2020). Transferring to Florida State in 2022, the 6’0, 216-pounder showcased an ideal blend of power and speed. That carried over to the Combine, where he posted an elite 9.78 Relative Athletic Score. He’ll enter the league with plenty of tread on his tires after tallying 156 and 154 carries over the past two seasons. Benson projects as a two-down thumper, but... Continue Reading »"
10,,"Ladd McConkey
WR LAC",1.08,5,22.8,,105.8,313,521,968,32,"McConkey enters the league as a polished route-runner with excellent short-area quickness. He missed time in 2023 with back and ankle injuries but carries no lingering durability issues to the pros. McConkey also stood out at Senior Bowl practices. The ceiling might not be high for fantasy, but this Day 2 pick should deliver immediate PPR value in L.A."
