Rank,Player,Position,Team,ADP,Fantasy_Projection,Dynasty_Value,Notes
1,"Jeanty, Ashton",RB,Las Vegas,2.5,280,"Elite college production - 2,601 rushing yards, potential feature back"
2,"Hampton, Omarion",RB,Los Angeles Chargers,5.8,190,"Power runner, shares backfield with Najee Harris"
3,"McMillan, Tetairoa",WR,Carolina,4.2,165,"Prototypical X receiver, 8th overall pick, potential WR1"
4,"Harvey, RJ",RB,Denver,6.1,175,"Versatile back in Sean Payton offense"
5,"Judkins, Quinshon",RB,Cleveland,6.3,170,"Productive college back, competition with Nick Chubb return"
6,"Hunter, Travis",WR,Jacksonville,7.2,155,"Two-way player, elite upside if full-time WR"
7,"Johnson, Kaleb",RB,Pittsburgh,5.9,185,"21 rushes of 20+ yards at Iowa, shares with Jaylen Warren"
8,"Henderson, TreVeyon",RB,New England,8.1,145,"Change of pace back in Pats system"
9,"Golden, Matthew",WR,Green Bay,9.3,140,"4.29 speed, 23 receptions of 20+ yards at Texas"
10,"Skattebo, Cam",RB,New York Giants,8.7,150,"Physical runner, depth behind current Giants RBs"
11,"Warren, Tyler",TE,Indianapolis,6.8,120,"104 receptions, 1,233 yards at Penn State, immediate need fill"
12,"Ward, Cam",QB,Tennessee,7.5,240,"Playmaking QB, starter potential in 2QB/superflex"
13,"Milroe, Jalen",QB,Atlanta,10.2,200,"Dual-threat QB, backup role initially"
14,"Beck, Carson",QB,Miami,11.1,185,"Pocket passer, development project"
15,"Neyor, Isaiah",WR,Indianapolis,10.8,115,"Veteran college receiver, slot potential"
16,"Brooks, Antwane",RB,Houston,9.9,125,"Power back depth"
17,"Worthy, Ja'Marr",WR,Cincinnati,11.5,110,"Deep threat specialist"
18,"Sanders, Emeka",TE,New York Jets,12.1,95,"Athletic TE prospect"
19,"Wilson, Malachi",WR,Dallas,12.8,105,"Development WR with upside"
20,"Thompson, Bryson",RB,Arizona,13.2,115,"Change of pace back"
