Player,Pos,Team,weighted_mean,ci_lower,ci_upper,game_count_2020,game_count_2021,game_count_2022,game_count_2023,game_count_2024,weighted_game_count,discounted_ci_lower,Avg_Sacks,Avg_Interceptions,Avg_Fumble_Recoveries,Avg_Defensive_TDs,Avg_Points_Allowed
"Allen, Josh",QB,Buffalo,28.576923076923077,21.432692307692307,35.72115384615385,16.0,16.0,15.0,16.0,15.0,0.3886075949367089,19.289423076923075,,,,,
"Mahomes, Patrick",QB,Kansas City,26.012820512820515,19.509615384615387,32.51602564102564,15.0,16.0,16.0,16.0,15.0,0.3911392405063291,17.55865384615385,,,,,
"Brady, Tom",,,25.5,19.125,31.875,16.0,16.0,16.0,0.0,0.0,0.1959183673469388,17.212500000000002,,,,,
"Jackson, Lamar",QB,Baltimore,25.4,19.049999999999997,31.75,30.0,24.0,24.0,32.0,30.0,0.4099290780141844,17.145,,,,,
"Burrow, Joe",QB,Cincinnati,24.53030303030303,18.397727272727273,30.66287878787879,10.0,16.0,15.0,10.0,15.0,0.4134328358208955,16.557954545454546,,,,,
"Prescott, Dak",QB,Dallas,24.072727272727274,18.054545454545455,30.090909090909093,5.0,15.0,11.0,16.0,8.0,0.37857142857142856,16.24909090909091,,,,,
"Daniels, Jayden",QB,Washington,24.066666666666666,18.05,30.083333333333332,0.0,0.0,0.0,0.0,15.0,0.9375,16.245,,,,,
"Murray, Kyler",QB,Arizona,23.225806451612904,17.41935483870968,29.032258064516128,16.0,13.0,11.0,7.0,15.0,0.4015873015873016,15.677419354838712,,,,,
"Rodgers, Aaron",QB,NY Jets,22.396825396825395,16.797619047619047,27.996031746031743,16.0,15.0,16.0,1.0,15.0,0.38749999999999996,15.117857142857144,,,,,
"Herbert, Justin",QB,LA Chargers,22.30666666666667,16.73,27.883333333333336,15.0,16.0,16.0,13.0,15.0,0.3907894736842105,15.057,,,,,
"Adams, Davante",WR,Las Vegas,22.301369863013697,16.726027397260275,27.87671232876712,14.0,15.0,16.0,16.0,12.0,0.372972972972973,15.053424657534247,,,,,
"McCaffrey, Christian",RB,San Francisco,22.08695652173913,16.565217391304348,27.60869565217391,3.0,7.0,16.0,16.0,4.0,0.35957446808510635,14.908695652173913,,,,,
"Hurts, Jalen",QB,Philadelphia,22.013513513513512,16.510135135135133,27.51689189189189,14.0,15.0,14.0,16.0,15.0,0.4,14.85912162162162,,,,,
"Jefferson, Justin",WR,Minnesota,21.805555555555557,16.354166666666668,27.256944444444446,16.0,16.0,16.0,9.0,15.0,0.3863013698630137,14.718750000000002,,,,,
"Cousins, Kirk",QB,Atlanta,21.797101449275363,16.347826086956523,27.246376811594203,16.0,15.0,16.0,8.0,14.0,0.37999999999999995,14.713043478260872,,,,,
"Chase, Ja'Marr",WR,Cincinnati,21.54385964912281,16.157894736842106,26.92982456140351,0.0,16.0,11.0,15.0,15.0,0.47413793103448276,14.542105263157897,,,,,
"Henry, Derrick",RB,Baltimore,21.32857142857143,15.996428571428572,26.660714285714285,16.0,8.0,15.0,16.0,15.0,0.4098591549295775,14.396785714285715,,,,,
"Hill, Tyreek",WR,Miami,21.2987012987013,15.974025974025974,26.623376623376625,15.0,16.0,16.0,15.0,15.0,0.391025641025641,14.376623376623376,,,,,
"Brees, Drew",,,21.25,15.9375,26.5625,12.0,0.0,0.0,0.0,0.0,0.09230769230769233,14.34375,,,,,
"Wilson, Russell",QB,Pittsburgh,21.01492537313433,15.761194029850746,26.26865671641791,16.0,13.0,14.0,15.0,9.0,0.34411764705882353,14.18507462686567,,,,,
"Williams, Antonio",,,21.0,15.75,26.25,1.0,0.0,0.0,0.0,0.0,0.05,14.175,,,,,
"Watson, Deshaun",QB,Cleveland,20.647058823529413,15.48529411764706,25.808823529411768,16.0,0.0,5.0,6.0,7.0,0.35714285714285715,13.936764705882354,,,,,
"Goff, Jared",QB,Detroit,20.466666666666665,15.349999999999998,25.583333333333332,15.0,13.0,16.0,16.0,15.0,0.39868421052631575,13.814999999999998,,,,,
"Kupp, Cooper",WR,LA Rams,20.322580645161292,15.241935483870968,25.403225806451616,15.0,16.0,9.0,12.0,10.0,0.3523809523809524,13.717741935483872,,,,,
"Nacua, Puka",WR,LA Rams,20.192307692307693,15.14423076923077,25.240384615384617,0.0,0.0,0.0,16.0,10.0,0.6074074074074074,13.629807692307693,,,,,
"Nix, Bo",QB,Denver,20.066666666666666,15.05,25.083333333333332,0.0,0.0,0.0,0.0,15.0,0.9375,13.545000000000002,,,,,
"Purdy, Brock",QB,San Francisco,19.526315789473685,14.644736842105264,24.407894736842106,0.0,0.0,8.0,16.0,14.0,0.5846153846153846,13.180263157894737,,,,,
"Tagovailoa, Tua",QB,Miami,19.306451612903224,14.479838709677418,24.133064516129032,10.0,12.0,13.0,16.0,11.0,0.3920634920634921,13.031854838709677,,,,,
"Stafford, Matthew",QB,LA Rams,19.197183098591548,14.39788732394366,23.996478873239436,16.0,16.0,9.0,15.0,15.0,0.3958333333333333,12.958098591549295,,,,,
"Roethlisberger, Ben",,,19.1,14.325000000000001,23.875,15.0,15.0,0.0,0.0,0.0,0.14516129032258066,12.892500000000002,,,,,
"Stroud, C.J.",QB,Houston,19.0,14.25,23.75,0.0,0.0,0.0,14.0,15.0,0.6866666666666668,12.825000000000001,,,,,
"Kamara, Alvin",RB,New Orleans,18.926470588235293,14.194852941176471,23.658088235294116,15.0,12.0,14.0,13.0,14.0,0.39565217391304347,12.775367647058824,,,,,
"Diggs, Stefon",WR,Houston,18.845070422535212,14.133802816901408,23.556338028169016,16.0,16.0,15.0,16.0,8.0,0.3291666666666667,12.720422535211268,,,,,
"Mayfield, Baker",QB,Tampa Bay,18.73611111111111,14.052083333333332,23.42013888888889,16.0,14.0,11.0,16.0,15.0,0.3986301369863014,12.646875,,,,,
"Achane, De'Von",RB,Miami,18.72,14.04,23.4,0.0,0.0,0.0,10.0,15.0,0.7307692307692307,12.636,,,,,
"Taylor, Jonathan",RB,Indianapolis,18.666666666666668,14.0,23.333333333333336,15.0,16.0,11.0,9.0,12.0,0.36875,12.6,,,,,
"Brown, A.J.",WR,Philadelphia,18.65714285714286,13.992857142857144,23.321428571428573,14.0,12.0,16.0,16.0,12.0,0.38028169014084506,12.59357142857143,,,,,
"Smith, Geno",QB,Seattle,18.58,13.934999999999999,23.224999999999998,1.0,4.0,16.0,14.0,15.0,0.515686274509804,12.5415,,,,,
"Fitzpatrick, Ryan",,,18.5,13.875,23.125,9.0,1.0,0.0,0.0,0.0,0.1,12.4875,,,,,
"Lamb, CeeDee",WR,Dallas,18.358974358974358,13.769230769230768,22.94871794871795,16.0,15.0,16.0,16.0,15.0,0.38987341772151896,12.392307692307691,,,,,
"Carr, Derek",QB,New Orleans,18.356164383561644,13.767123287671232,22.945205479452056,16.0,16.0,15.0,16.0,10.0,0.34729729729729736,12.39041095890411,,,,,
"Rivers, Philip",,,18.3125,13.734375,22.890625,16.0,0.0,0.0,0.0,0.0,0.09411764705882353,12.3609375,,,,,
"Wentz, Carson",QB,Kansas City,18.2972972972973,13.722972972972974,22.87162162162162,12.0,16.0,8.0,0.0,1.0,0.20526315789473687,12.350675675675676,,,,,
"Gibbs, Jahmyr",RB,Detroit,18.24137931034483,13.681034482758623,22.801724137931036,0.0,0.0,0.0,14.0,15.0,0.6866666666666668,12.31293103448276,,,,,
