Player,Position,SeasonsPlayed,Weighted_Pts*_PerGame,Weighted_Passing_Yds_PerGame,Weighted_Passing_TD_PerGame,Weighted_Passing_Int_PerGame,Weighted_Rushing_Yds_PerGame,Weighted_Rushing_TD_PerGame,Weighted_Receiving_Rec_PerGame,Weighted_Receiving_Yds_PerGame,Weighted_Receiving_TD_PerGame,Weighted_Pts*,Weighted_Passing_Yds,Weighted_Passing_TD,Weighted_Passing_Int,Weighted_Rushing_Yds,Weighted_Rushing_TD,Weighted_Receiving_Rec,Weighted_Receiving_Yds,Weighted_Receiving_TD,Weighted_GamesPlayed,TotalWeight,ProjectedPointsPerGame,ProjectedPoints
Cole KmetC. Kmet,TE,3,5.364107142857144,0.0,0.0,0.0,0.095,0.0,3.6371428571428566,37.17892857142857,0.33249999999999996,71.915,0.0,0.0,0.0,1.3299999999999998,0.0,48.7825,498.1325,4.465,12.682500000000001,1.0,5.364107142857144,85.8257142857143
Ricky PearsallR. Pearsall,TE,1,3.9583333333333335,0.0,0.0,0.0,6.175000000000001,0.0,2.691666666666667,30.083333333333332,0.15833333333333333,23.75,0.0,0.0,0.0,37.05,0.0,16.15,180.5,0.95,5.699999999999999,0.65,3.9583333333333335,63.333333333333336
Kenyan DrakeK. Drake,WR,2,2.376623376623377,0.0,0.0,0.0,10.961038961038962,0.07792207792207792,1.103896103896104,12.889610389610391,0.02597402597402598,19.714285714285715,0.0,0.0,0.0,120.57142857142858,0.8571428571428573,5.714285714285714,42.142857142857146,0.28571428571428575,4.571428571428572,0.35,2.376623376623377,38.02597402597403
C.J. StroudC. Stroud,QB,2,18.80679894179894,268.8434920634921,1.4646296296296295,0.6917195767195767,15.177962962962964,0.06547619047619048,0.021825396825396828,0.0,0.0,275.7944444444445,3948.755555555556,21.511111111111113,10.266666666666667,224.4611111111111,0.9166666666666666,0.3055555555555556,0.0,0.0,16.194444444444446,0.9,18.80679894179894,300.90878306878307
Darnell WashingtonD. Washington,TE,2,1.3605699855699855,0.0,0.0,0.0,0.0,0.0,1.3866161616161614,14.275360750360749,0.06237373737373738,14.513888888888888,0.0,0.0,0.0,0.0,0.0,14.197222222222221,147.83055555555555,0.6861111111111111,9.394444444444444,0.9,1.3605699855699855,21.76911976911977
Kyle JuszczykK. Juszczyk,TE,3,1.627114898989899,0.0,0.0,0.0,1.6948863636363634,0.06009469696969697,1.348232323232323,11.950088383838384,0.061414141414141414,17.717499999999998,0.0,0.0,0.0,19.665000000000003,0.7124999999999999,14.915,132.4775,0.57,10.5925,1.0,1.627114898989899,26.033838383838383
Braelon AllenB. Allen,RB,1,2.9400000000000004,0.0,0.0,0.0,17.580000000000002,0.12,1.02,8.4,0.06,44.1,0.0,0.0,0.0,263.7,1.8,15.3,126.0,0.9,13.5,0.65,2.9400000000000004,47.040000000000006
DeAndre CarterD. Carter,TE,3,0.9341666666666667,0.0,0.0,0.0,0.76,0.0,1.3410833333333332,12.255,0.019000000000000003,8.882499999999999,0.0,0.0,0.0,2.8499999999999996,0.0,10.355,100.03500000000001,0.28500000000000003,6.3175,1.0,0.9341666666666667,14.946666666666667
Jalen GuytonJ. Guyton,TE,2,2.9857142857142858,0.0,0.0,0.0,0.0,0.0,1.6738095238095239,27.436904761904767,0.1130952380952381,9.771428571428572,0.0,0.0,0.0,0.0,0.0,7.328571428571429,77.76428571428572,0.6785714285714286,4.342857142857143,0.35,2.9857142857142858,47.77142857142857
Bryce OliverB. Oliver,WR,1,1.5,0.0,0.0,0.0,0.0,0.0,1.25,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,0.0,4.0,0.65,1.5,24.0
Phillip DorsettP. Dorsett,WR,1,2.3636363636363638,0.0,0.0,0.0,0.0,0.0,1.8181818181818181,23.363636363636363,0.09090909090909091,26.0,0.0,0.0,0.0,0.0,0.0,20.0,257.0,1.0,11.0,0.1,2.3636363636363638,37.81818181818182
David MooreD. Moore,TE,2,3.5760942760942753,0.0,0.0,0.0,0.0,0.0,2.2230639730639727,27.83627946127946,0.2127104377104377,30.18888888888889,0.0,0.0,0.0,0.0,0.0,21.63888888888889,245.68055555555551,1.636111111111111,8.338888888888889,0.9,3.5760942760942753,57.217508417508405
Baker MayfieldB. Mayfield,QB,3,24.23820833333334,274.16489583333333,2.201916666666667,0.956875,18.092583333333337,0.17018750000000002,0.0,0.0,0.0,363.7700000000001,4098.985000000001,33.11000000000001,14.245000000000001,271.15000000000003,2.5300000000000007,0.0,0.0,0.0,16.335,1.0,24.23820833333334,387.81133333333344
Marvin MimsM. Mims,WR,2,3.3617724867724874,0.0,0.0,0.0,3.163359788359789,0.0,1.9814814814814814,28.16732804232804,0.1402116402116402,41.88888888888889,0.0,0.0,0.0,39.111111111111114,0.0,24.611111111111114,352.33333333333337,1.7222222222222223,12.555555555555555,0.9,3.3617724867724874,53.7883597883598
Rhamondre StevensonR. Stevenson,RB,3,8.31375,0.0,0.0,0.0,50.58107142857143,0.395625,2.4514285714285715,13.693125,0.047410714285714285,114.48,0.0,0.0,0.0,696.015,5.445,33.615,187.20000000000002,0.675,12.33,1.0,8.31375,133.02
Hendon HookerH. Hooker,RB,1,0.3,18.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.9,55.800000000000004,0.0,0.0,1.8,0.0,0.0,0.0,0.0,2.7,0.65,0.3,4.8
Blake BellB. Bell,TE,2,3.2571428571428576,0.0,0.0,0.0,0.0,0.0,1.1761904761904762,9.816666666666668,0.4976190476190476,5.9714285714285715,0.0,0.0,0.0,0.0,0.0,2.9857142857142858,20.22142857142857,0.95,2.3071428571428574,0.35,3.2571428571428576,52.11428571428572
Jacob HarrisJ. Harris,TE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5.7,0.0,0.95,0.1,0.0,0.0
D.J. CharkD. Chark,TE,3,2.323846153846154,0.0,0.0,0.0,0.0,0.0,1.8497596153846152,22.264711538461537,0.12697115384615387,23.132499999999997,0.0,0.0,0.0,0.0,0.0,12.254999999999997,175.56,1.4725,5.0825,1.0,2.323846153846154,37.181538461538466
Durham SmytheD. Smythe,TE,3,0.7876363636363636,0.0,0.0,0.0,0.009500000000000001,0.009500000000000001,1.422409090909091,11.745934343434342,0.009500000000000001,8.5025,0.0,0.0,0.0,0.095,0.095,14.2975,121.0775,0.095,9.120000000000001,1.0,0.7876363636363636,12.602181818181817
Michael GallupM. Gallup,WR,2,3.928571428571429,0.0,0.0,0.0,0.0,0.0,2.639455782312925,31.18367346938776,0.19727891156462588,52.142857142857146,0.0,0.0,0.0,0.0,0.0,35.142857142857146,416.8571428571429,2.5714285714285716,13.42857142857143,0.35,3.928571428571429,62.85714285714286
CeeDee LambC. Lamb,TE,3,10.840687499999998,0.0,0.0,0.0,4.734166666666667,0.0296875,6.574395833333334,81.42034375,0.4429375,167.15249999999997,0.0,0.0,0.0,72.865,0.475,101.0325,1253.5725000000002,6.84,14.5825,1.0,10.840687499999998,173.45099999999996
Devin AsiasiD. Asiasi,TE,1,0.0,0.0,0.0,0.0,0.0,0.0,1.9,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,4.75,0.0,0.95,0.1,0.0,0.0
Chris MooreC. Moore,WR,2,3.3186813186813193,0.0,0.0,0.0,2.2527472527472527,0.0,2.054945054945055,33.20879120879121,0.04395604395604396,43.14285714285715,0.0,0.0,0.0,29.28571428571429,0.0,26.71428571428572,431.7142857142857,0.5714285714285715,13.0,0.35,3.3186813186813193,53.09890109890111
Will MalloryW. Mallory,TE,2,0.6663194444444444,0.0,0.0,0.0,0.0,0.0,1.279861111111111,11.802430555555555,0.0,4.644444444444445,0.0,0.0,0.0,0.0,0.0,7.494444444444444,74.52222222222221,0.0,4.855555555555555,0.9,0.6663194444444444,10.66111111111111
Marquise GoodwinM. Goodwin,WR,2,2.6095238095238096,0.0,0.0,0.0,4.071428571428572,0.0,1.2476190476190476,19.033333333333335,0.11428571428571431,22.28571428571429,0.0,0.0,0.0,25.0,0.0,10.571428571428573,158.42857142857144,1.142857142857143,7.142857142857143,0.35,2.6095238095238096,41.75238095238095
Pat FreiermuthP. Freiermuth,TE,3,4.601619047619048,0.0,0.0,0.0,0.0,0.0,3.1983333333333337,32.696059523809524,0.30807142857142855,63.9825,0.0,0.0,0.0,0.0,0.0,43.98499999999999,451.3925,4.37,12.9675,1.0,4.601619047619048,73.62590476190476
Leonard FournetteL. Fournette,RB,2,3.668571428571429,0.0,0.0,0.017142857142857144,24.30857142857143,0.05142857142857144,1.2342857142857144,8.897142857142859,0.05142857142857144,37.02857142857143,0.0,0.0,0.2571428571428572,184.62857142857143,0.7714285714285716,18.514285714285716,133.45714285714288,0.7714285714285716,4.5,0.35,3.668571428571429,58.697142857142865
Blake WatsonB. Watson,WR,1,2.0,0.0,0.0,0.0,10.0,0.0,1.0,13.000000000000002,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,13.000000000000002,0.0,1.0,0.65,2.0,32.0
Penny HartP. Hart,TE,1,0.31666666666666665,0.0,0.0,0.0,0.0,0.0,0.95,6.333333333333333,0.0,0.95,0.0,0.0,0.0,0.0,0.0,2.85,19.0,0.0,2.85,0.1,0.31666666666666665,5.066666666666666
Tyler BadieT. Badie,TE,1,2.216666666666667,0.0,0.0,0.0,27.233333333333338,0.0,0.95,-0.6333333333333333,0.0,6.649999999999999,0.0,0.0,0.0,81.7,0.0,2.8499999999999996,-1.9,0.0,2.8499999999999996,0.65,2.216666666666667,35.46666666666667
Mike StrachanM. Strachan,WR,2,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,1.142857142857143,40.57142857142857,0.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,1.5714285714285716,49.0,0.0,1.2857142857142858,0.35,3.5714285714285716,57.142857142857146
D'Onta ForemanD. Foreman,RB,3,3.58975,0.0,0.0,0.0,27.108500000000003,0.13,0.670625,5.44475,0.024999999999999998,35.28,0.0,0.0,0.0,263.02500000000003,1.35,5.8500000000000005,46.575,0.225,8.055,1.0,3.58975,57.436
Tee HigginsT. Higgins,WR,3,10.230104895104896,0.0,0.0,0.0,0.0,0.0,5.286083916083916,70.02562937062937,0.6224825174825175,107.60000000000001,0.0,0.0,0.0,0.0,0.0,55.5,738.75,6.5,10.55,1.0,10.230104895104896,163.68167832167833
Robert WoodsR. Woods,TE,3,1.8192905982905985,0.0,0.0,0.0,0.12788461538461537,0.0,2.1388803418803417,20.67841452991453,0.030935897435897437,21.564999999999998,0.0,0.0,0.0,1.6624999999999999,0.0,24.035,235.74249999999998,0.4275,10.07,1.0,1.8192905982905985,29.108649572649576
Marcus MariotaM. Mariota,RB,3,8.23673076923077,78.3398076923077,0.6888461538461539,0.062307692307692314,14.912307692307694,0.027692307692307693,0.0,0.0,0.0,33.075,322.06500000000005,2.52,0.81,61.830000000000005,0.36000000000000004,0.0,0.0,0.0,2.565,1.0,8.23673076923077,131.7876923076923
Ben SimsB. Sims,TE,2,1.1479166666666665,0.0,0.0,0.0,0.0,0.0,1.1787037037037036,10.990972222222222,0.06597222222222222,3.905555555555556,0.0,0.0,0.0,0.0,0.0,3.8,34.35833333333333,0.2638888888888889,3.1138888888888885,0.9,1.1479166666666665,18.366666666666664
Hunter LongH. Long,TE,1,0.57,0.0,0.0,0.0,0.0,0.0,1.3299999999999998,11.399999999999999,0.0,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,6.649999999999999,57.0,0.0,4.75,0.65,0.57,9.12
Andrew OgletreeA. Ogletree,TE,2,2.231746031746032,0.0,0.0,0.0,0.0,0.0,1.1799603174603175,15.090674603174602,0.18597883597883597,14.566666666666666,0.0,0.0,0.0,0.0,0.0,7.863888888888889,99.16944444444444,1.2138888888888888,6.38611111111111,0.9,2.231746031746032,35.70793650793651
Jesper HorstedJ. Horsted,TE,2,0.27142857142857146,0.0,0.0,0.0,0.0,0.0,1.4928571428571429,7.871428571428572,0.0,0.27142857142857146,0.0,0.0,0.0,0.0,0.0,1.4928571428571429,7.871428571428572,0.0,0.95,0.35,0.27142857142857146,4.342857142857143
Allen LazardA. Lazard,WR,3,6.548412698412698,0.0,0.0,0.0,0.0,0.0,3.3583333333333334,45.61071428571429,0.4218253968253969,63.2,0.0,0.0,0.0,0.0,0.0,32.8,444.95,4.0,9.75,1.0,6.548412698412698,104.77460317460317
T.J. HockensonT. Hockenson,TE,3,5.205208333333333,0.0,0.0,0.0,0.0,0.0,4.633229166666666,49.70875,0.11479166666666667,60.42,0.0,0.0,0.0,0.0,0.0,51.6325,546.725,1.7575,10.0225,1.0,5.205208333333333,83.28333333333333
