name,position,team,projected_points,vbd,adjusted_value,tier
"McCaffrey, Christian",RB,San Francisco,23.0,22.0,40.467084623541886,1
"Henry, Derrick",RB,Baltimore,15.0,14.0,26.268971707317075,9
"Etienne, Travis",RB,Jacksonville,15.0,14.0,25.9385443902439,9
"Jacobs, Josh",RB,Green Bay,14.0,13.0,24.655609756097554,2
"Ekeler, Austin",RB,Washington,14.0,13.0,24.49123902439024,2
"Mostert, Raheem",RB,Miami,13.0,12.0,22.712339212007503,2
"Hall, Breece",RB,NY Jets,13.0,12.0,22.712339212007503,2
"Mixon, Joe",RB,Houston,13.0,12.0,22.54894108818011,2
"Barkley, Saquon",RB,Philadelphia,13.0,12.0,22.38554296435272,2
"Pollard, Tony",RB,Tennessee,13.0,12.0,22.38554296435272,2
"Williams, Kyren",RB,LA Rams,12.0,11.0,21.256507317073172,2
"Kamara, Alvin",RB,New Orleans,12.0,11.0,20.607453658536585,2
